Motif_name	Motif_IC	Average_IC	Motif_length	energy	gomer	sumlog	sumoc
MA0079.3.JASPAR	13.096323	1.309632	10	1.114000	1.321000	1.010000	1.320000
SP1_f1.HOCOMOCO	11.772443	1.177244	10	1.121000	1.260000	1.002000	1.260000
SP1_f2.HOCOMOCO	13.383811	0.743545	18	1.119000	1.298000	0.995000	1.299000
Sp1.HOMER	16.500711	1.500065	11	1.115000	1.320000	1.001000	1.324000
SP1_disc1.POUR	13.856668	0.659841	21	1.405000	1.638000	1.002000	1.640000
SP1_disc2.POUR	11.029667	1.575667	7	0.987000	1.019000	1.003000	1.018000
SP1_disc3.POUR	13.866040	0.990431	14	1.120000	1.228000	1.013000	1.230000
SP1_DBD.JOLMA	10.780787	1.078079	10	1.121000	1.284000	0.984000	1.284000
SP1_1.GUERTIN	12.056226	1.096021	11	1.339000	1.651000	1.021000	1.651000
SP1_2.GUERTIN	12.657366	1.150670	11	1.125000	1.320000	0.996000	1.319000
SP1_3.GUERTIN	18.449794	1.677254	11	1.000000	1.049000	1.017000	1.049000
SP1_4.GUERTIN	17.058068	1.550733	11	1.083000	1.036000	1.007000	1.026000
SP1.2_1.ZLAB	12.640193	1.053349	12	1.370000	1.656000	1.013000	1.659000
SP1.2_2.ZLAB	13.443877	0.960277	14	1.140000	1.392000	0.989000	1.392000
SP1.2_3.ZLAB	10.877278	1.553897	7	1.356000	1.563000	1.010000	1.573000
SP1.2_4.ZLAB	20.434052	0.756817	27	1.030000	1.187000	0.996000	1.188000
SP1.2_5.ZLAB	18.787443	0.695831	27	1.313000	1.478000	1.000000	1.444000
Sp1.TF2DNA	7.464976	1.244163	6	1.021000	1.022000	1.003000	1.015000
SP1.SWISSREGULON	13.774373	1.059567	13	1.126000	1.326000	0.991000	1.328000
M1906_1.02.CIS-BP	12.876953	1.287695	10	1.122000	1.280000	0.998000	1.282000
