Motif_name	Motif_IC	Average_IC	Motif_length	energy	gomer	sumlog	sumoc
MA0083.2.JASPAR	15.411693	0.906570	17	0.744000	0.748000	0.510000	0.727000
SRF_do.HOCOMOCO	13.744725	0.981766	14	0.739000	0.744000	0.503000	0.755000
SRF_disc1.POUR	14.329622	1.592180	9	0.674000	0.624000	0.501000	0.627000
SRF_disc2.POUR	7.091983	0.709198	10	0.526000	0.519000	0.499000	0.519000
SRF_DBD.JOLMA	16.891230	1.535566	11	0.743000	0.735000	0.505000	0.737000
SRF_full.JOLMA	20.224740	1.348316	15	0.730000	0.678000	0.497000	0.674000
UP00077_1.UNIPROBE	10.992314	0.845563	13	0.745000	0.728000	0.503000	0.743000
UP00077_2.UNIPROBE	6.435829	0.402239	16	0.517000	0.507000	0.499000	0.509000
UP00077.1.ZHAO2011	0.251941	0.027993	9	0.581000	0.515000	0.501000	0.515000
UP00077.2.ZHAO2011	0.235785	0.026198	9	0.495000	0.481000	0.498000	0.480000
SRF_ETS-DOMAIN.3DFOOTPRINT	7.550870	1.510174	5	0.467000	0.480000	0.499000	0.484000
SRF_3.3DFOOTPRINT	21.203897	1.413593	15	0.574000	0.509000	0.472000	0.505000
SRF_4.3DFOOTPRINT	8.552346	1.069043	8	0.503000	0.517000	0.498000	0.518000
SRF_5.3DFOOTPRINT	21.399160	1.426611	15	0.542000	0.506000	0.494000	0.501000
SRF_6.3DFOOTPRINT	6.026429	1.205286	5	0.553000	0.556000	0.500000	0.556000
SRF_1.3DFOOTPRINT	12.421841	1.380205	9	0.533000	0.522000	0.503000	0.525000
SRF_2.3DFOOTPRINT	6.490037	1.298007	5	0.493000	0.509000	0.500000	0.511000
SRF_1.GUERTIN	15.186613	1.012441	15	0.741000	0.748000	0.511000	0.750000
SRF_2.GUERTIN	29.389494	1.546815	19	0.500000	0.500000	0.505000	0.500000
SRF_3.GUERTIN	10.192109	1.698685	6	0.623000	0.626000	0.500000	0.629000
SRF_4.GUERTIN	26.576290	1.398752	19	0.560000	0.504000	0.509000	0.504000
SRF.1_1.ZLAB	17.106513	1.315886	13	0.734000	0.737000	0.511000	0.740000
SRF.1_2.ZLAB	35.224573	1.214640	29	0.497000	0.500000	0.471000	0.500000
SRF.1_3.ZLAB	36.250770	1.812538	20	0.476000	0.500000	0.498000	0.500000
SRF.1_4.ZLAB	45.718197	1.632793	28	0.498000	0.500000	0.488000	0.500000
SRF.1_5.ZLAB	24.372947	1.354053	18	0.467000	0.500000	0.499000	0.501000
Srf.TF2DNA	8.493690	1.213384	7	0.509000	0.510000	0.501000	0.510000
SRF.SWISSREGULON	14.703209	1.336655	11	0.733000	0.727000	0.503000	0.729000
M4477_1.02.CIS-BP	14.599185	0.811066	18	0.749000	0.719000	0.506000	0.706000
