Motif_name	Motif_IC	Average_IC	Motif_length	energy	gomer	sumlog	sumoc
MA0083.2.JASPAR	15.411693	0.906570	17	1.294000	1.632000	1.026000	1.638000
SRF_do.HOCOMOCO	13.744725	0.981766	14	1.295000	1.614000	1.010000	1.617000
SRF_disc1.POUR	14.329622	1.592180	9	1.181000	1.395000	1.006000	1.391000
SRF_disc2.POUR	7.091983	0.709198	10	1.029000	1.048000	1.003000	1.048000
SRF_DBD.JOLMA	16.891230	1.535566	11	1.306000	1.593000	1.012000	1.595000
SRF_full.JOLMA	20.224740	1.348316	15	1.290000	1.544000	0.995000	1.554000
UP00077_1.UNIPROBE	10.992314	0.845563	13	1.301000	1.610000	1.008000	1.612000
UP00077_2.UNIPROBE	6.435829	0.402239	16	1.029000	1.049000	1.006000	1.049000
UP00077.1.ZHAO2011	0.251941	0.027993	9	1.118000	1.038000	1.007000	1.038000
UP00077.2.ZHAO2011	0.235785	0.026198	9	0.984000	0.989000	1.001000	0.988000
SRF_ETS-DOMAIN.3DFOOTPRINT	7.550870	1.510174	5	0.988000	0.949000	1.002000	0.957000
SRF_3.3DFOOTPRINT	21.203897	1.413593	15	1.128000	1.033000	0.976000	1.025000
SRF_4.3DFOOTPRINT	8.552346	1.069043	8	1.001000	1.057000	0.999000	1.058000
SRF_5.3DFOOTPRINT	21.399160	1.426611	15	1.063000	1.010000	0.989000	0.991000
SRF_6.3DFOOTPRINT	6.026429	1.205286	5	1.075000	1.102000	1.004000	1.102000
SRF_1.3DFOOTPRINT	12.421841	1.380205	9	1.044000	1.075000	1.014000	1.079000
SRF_2.3DFOOTPRINT	6.490037	1.298007	5	0.992000	1.022000	1.004000	1.028000
SRF_1.GUERTIN	15.186613	1.012441	15	1.298000	1.625000	1.020000	1.629000
SRF_2.GUERTIN	29.389494	1.546815	19	1.001000	1.004000	1.018000	1.011000
SRF_3.GUERTIN	10.192109	1.698685	6	1.174000	1.262000	1.009000	1.274000
SRF_4.GUERTIN	26.576290	1.398752	19	1.086000	1.037000	1.016000	1.039000
SRF.1_1.ZLAB	17.106513	1.315886	13	1.281000	1.599000	1.019000	1.604000
SRF.1_2.ZLAB	35.224573	1.214640	29	1.004000	1.021000	0.979000	1.016000
SRF.1_3.ZLAB	36.250770	1.812538	20	0.991000	1.031000	1.006000	1.034000
SRF.1_4.ZLAB	45.718197	1.632793	28	0.985000	0.988000	0.993000	0.989000
SRF.1_5.ZLAB	24.372947	1.354053	18	0.964000	1.025000	1.005000	1.026000
Srf.TF2DNA	8.493690	1.213384	7	1.023000	1.009000	1.007000	1.009000
SRF.SWISSREGULON	14.703209	1.336655	11	1.284000	1.593000	1.008000	1.595000
M4477_1.02.CIS-BP	14.599185	0.811066	18	1.307000	1.636000	1.014000	1.640000
