Motif_name	Motif_IC	Average_IC	Motif_length	energy	gomer	sumlog	sumoc
E2A_1.HOMER	11.385580	1.265064	9	0.622000	0.638000	0.501000	0.636000
E2A_2.HOMER	11.919741	1.324416	9	0.618000	0.609000	0.502000	0.607000
E-box.HOMER	14.636387	1.330581	11	0.526000	0.541000	0.500000	0.540000
TCF3_DBD.JOLMA	11.388434	1.265382	9	0.631000	0.650000	0.501000	0.647000
UP00058_1.UNIPROBE	11.971684	0.748230	16	0.452000	0.494000	0.499000	0.495000
UP00046_1.UNIPROBE	11.912928	0.744558	16	0.600000	0.605000	0.499000	0.589000
UP00058_2.UNIPROBE	2.646869	0.189062	14	0.516000	0.517000	0.501000	0.522000
UP00046_2.UNIPROBE	11.613522	0.725845	16	0.564000	0.563000	0.498000	0.543000
UP00058.1.ZHAO2011	1.778534	0.197615	9	0.459000	0.486000	0.501000	0.486000
UP00058.2.ZHAO2011	1.493659	0.165962	9	0.469000	0.488000	0.500000	0.488000
UP00046.1.ZHAO2011	10.131050	1.125672	9	0.629000	0.643000	0.502000	0.642000
UP00046.2.ZHAO2011	10.084773	1.120530	9	0.624000	0.641000	0.502000	0.640000
TCF3_1.GUERTIN	17.605268	0.926593	19	0.537000	0.503000	0.498000	0.504000
TCF3_2.GUERTIN	11.397238	1.424655	8	0.614000	0.612000	0.501000	0.611000
TCF3_3.GUERTIN	30.626174	1.611904	19	0.498000	0.501000	0.502000	0.500000
TCF3_4.GUERTIN	15.494646	0.815508	19	0.527000	0.508000	0.499000	0.509000
Tcf3.TF2DNA	9.158512	1.308359	7	0.496000	0.518000	0.501000	0.517000
TCF3.SWISSREGULON	12.832396	0.987107	13	0.573000	0.583000	0.501000	0.576000
M6516_1.02.CIS-BP	10.944965	1.094496	10	0.607000	0.624000	0.501000	0.626000
