Motif_name	Motif_IC	Average_IC	Motif_length	energy	gomer	sumlog	sumoc
E2A_1.HOMER	11.385580	1.265064	9	1.197000	1.286000	1.006000	1.285000
E2A_2.HOMER	11.919741	1.324416	9	1.202000	1.220000	1.009000	1.218000
E-box.HOMER	14.636387	1.330581	11	1.046000	1.077000	1.006000	1.077000
TCF3_DBD.JOLMA	11.388434	1.265382	9	1.220000	1.293000	1.005000	1.292000
UP00058_1.UNIPROBE	11.971684	0.748230	16	0.932000	0.974000	1.006000	0.975000
UP00046_1.UNIPROBE	11.912928	0.744558	16	1.173000	1.261000	1.003000	1.262000
UP00058_2.UNIPROBE	2.646869	0.189062	14	1.032000	1.064000	1.008000	1.064000
UP00046_2.UNIPROBE	11.613522	0.725845	16	1.132000	1.168000	1.006000	1.170000
UP00058.1.ZHAO2011	1.778534	0.197615	9	0.946000	0.987000	1.008000	0.987000
UP00058.2.ZHAO2011	1.493659	0.165962	9	0.974000	0.984000	1.007000	0.986000
UP00046.1.ZHAO2011	10.131050	1.125672	9	1.211000	1.285000	1.009000	1.284000
UP00046.2.ZHAO2011	10.084773	1.120530	9	1.200000	1.273000	1.009000	1.272000
TCF3_1.GUERTIN	17.605268	0.926593	19	1.065000	1.086000	1.000000	1.078000
TCF3_2.GUERTIN	11.397238	1.424655	8	1.192000	1.252000	1.008000	1.251000
TCF3_3.GUERTIN	30.626174	1.611904	19	0.993000	1.014000	1.015000	1.012000
TCF3_4.GUERTIN	15.494646	0.815508	19	1.040000	1.077000	1.004000	1.077000
Tcf3.TF2DNA	9.158512	1.308359	7	1.016000	1.028000	1.005000	1.028000
TCF3.SWISSREGULON	12.832396	0.987107	13	1.138000	1.162000	1.004000	1.161000
M6516_1.02.CIS-BP	10.944965	1.094496	10	1.190000	1.226000	1.008000	1.226000
