Motif_name	Motif_IC	Average_IC	Motif_length	energy	gomer	sumlog	sumoc
MA0095.2.JASPAR	13.867010	1.260637	11	0.898000	0.900000	0.501000	0.900000
TYY1_f2.HOCOMOCO	12.865238	1.169567	11	0.903000	0.910000	0.501000	0.910000
YY1.HOMER	18.096587	1.645144	11	0.892000	0.877000	0.504000	0.880000
YY1_disc1.POUR	16.377523	0.744433	22	0.887000	0.569000	0.523000	0.555000
YY1_disc2.POUR	16.100825	1.788981	9	0.839000	0.554000	0.506000	0.553000
YY1_disc3.POUR	7.226163	0.802907	9	0.590000	0.576000	0.500000	0.576000
YY1_disc4.POUR	7.516594	0.536900	14	0.593000	0.547000	0.500000	0.547000
YY1_disc5.POUR	6.932177	0.630198	11	0.565000	0.553000	0.500000	0.553000
YY1_full.JOLMA	9.108403	0.910840	10	0.865000	0.875000	0.501000	0.875000
YY1.3DFOOTPRINT	16.792697	1.526609	11	0.812000	0.533000	0.534000	0.542000
YY1_1.GUERTIN	14.115611	1.283237	11	0.902000	0.909000	0.500000	0.909000
YY1_2.GUERTIN	17.514538	1.167636	15	0.526000	0.555000	0.502000	0.544000
YY1_3.GUERTIN	12.385705	0.651879	19	0.525000	0.501000	0.500000	0.501000
YY1_4.GUERTIN	10.218179	1.277272	8	0.563000	0.560000	0.497000	0.559000
YY1.1_1.ZLAB	15.674001	1.119572	14	0.899000	0.909000	0.498000	0.909000
YY1.1_2.ZLAB	15.630720	0.868373	18	0.867000	0.742000	0.524000	0.713000
YY1.1_3.ZLAB	11.240627	1.605804	7	0.600000	0.599000	0.500000	0.597000
YY1.1_4.ZLAB	14.607807	1.623090	9	0.529000	0.523000	0.504000	0.523000
YY1.1_5.ZLAB	21.580679	1.079034	20	0.537000	0.512000	0.542000	0.512000
Yy1.TF2DNA	8.842774	1.105347	8	0.634000	0.578000	0.499000	0.579000
YY1.SWISSREGULON	8.657292	1.731458	5	0.686000	0.699000	0.500000	0.698000
M1919_1.02.CIS-BP	13.867010	1.260637	11	0.898000	0.900000	0.501000	0.900000
