Motif_name	Motif_IC	Average_IC	Motif_length	energy	gomer	sumlog	sumoc
MA0162.2.JASPAR	13.670813	1.051601	13	0.929000	0.720000	0.477000	0.695000
EGR1_f2.HOCOMOCO	12.973534	1.297353	10	0.940000	0.902000	0.608000	0.905000
Egr1.HOMER	12.522418	1.391380	9	0.976000	0.933000	0.648000	0.934000
EGR1_disc1.POUR	16.253257	1.805917	9	0.939000	0.562000	0.500000	0.565000
EGR1_disc2.POUR	12.404471	1.378275	9	0.452000	0.502000	0.709000	0.470000
EGR1_disc3.POUR	13.539944	1.504438	9	0.665000	0.462000	0.339000	0.445000
EGR1_disc4.POUR	29.247285	1.218637	24	0.525000	0.500000	0.329000	0.500000
EGR1_disc5.POUR	10.375668	1.482238	7	0.874000	0.727000	0.626000	0.721000
EGR1_disc6.POUR	7.414593	0.741459	10	0.872000	0.807000	0.629000	0.797000
EGR1_disc7.POUR	13.396007	1.488445	9	0.785000	0.601000	0.822000	0.598000
EGR1_DBD.JOLMA	15.876846	1.221296	13	0.948000	0.863000	0.503000	0.844000
EGR1_full.JOLMA	19.489658	1.499204	13	0.926000	0.665000	0.551000	0.641000
Egr1_mouse_DBD_mutant_DBD.JOLMA	18.165413	1.211028	15	0.922000	0.675000	0.564000	0.642000
UP00007_1.UNIPROBE	14.027674	1.079052	13	0.967000	0.917000	0.671000	0.914000
UP00007_2.UNIPROBE	9.457575	0.630505	15	0.780000	0.675000	0.314000	0.639000
UP00007.1.ZHAO2011	14.475177	0.851481	17	0.721000	0.537000	0.882000	0.511000
UP00007.2.ZHAO2011	15.349149	0.902891	17	0.720000	0.546000	0.884000	0.512000
UP00400.1.ZHAO2011	3.826546	0.425172	9	0.536000	0.576000	0.390000	0.581000
UP00400.2.ZHAO2011	6.027948	0.669772	9	0.992000	0.992000	0.624000	0.992000
EGR1_1.3DFOOTPRINT	16.250000	1.805556	9	0.914000	0.507000	0.707000	0.515000
EGR1_2.3DFOOTPRINT	15.202047	1.900256	8	0.865000	0.529000	0.460000	0.533000
EGR1_3.3DFOOTPRINT	13.336498	1.667062	8	0.826000	0.502000	0.512000	0.522000
EGR1_1.GUERTIN	12.792505	0.852834	15	0.952000	0.854000	0.490000	0.828000
EGR1_2.GUERTIN	23.250564	1.223714	19	0.485000	0.499000	0.142000	0.500000
EGR1_3.GUERTIN	10.329926	0.688662	15	0.423000	0.536000	0.423000	0.508000
EGR1_4.GUERTIN	27.261338	1.434807	19	0.494000	0.498000	0.265000	0.498000
EGR1.1_1.ZLAB	16.959548	0.807598	21	0.763000	0.507000	0.444000	0.502000
EGR1.1_2.ZLAB	11.973215	0.855230	14	0.623000	0.541000	0.498000	0.525000
EGR1.1_3.ZLAB	21.440999	1.128474	19	0.720000	0.503000	0.706000	0.502000
EGR1.1_4.ZLAB	16.412984	1.172356	14	0.443000	0.511000	0.089000	0.495000
EGR1.1_5.ZLAB	17.419998	1.244286	14	0.657000	0.485000	0.555000	0.492000
Egr1.TF2DNA	10.231428	1.461633	7	0.902000	0.777000	0.706000	0.774000
EGR1.SWISSREGULON	17.044926	1.549539	11	0.953000	0.639000	0.400000	0.610000
M4459_1.02.CIS-BP	16.534271	0.870225	19	0.755000	0.536000	0.434000	0.526000
