Motif_name	Motif_IC	Average_IC	Motif_length	energy	gomer	sumlog	sumoc
MA0162.2.JASPAR	13.670813	1.051601	13	1.815000	1.609000	1.009000	1.542000
EGR1_f2.HOCOMOCO	12.973534	1.297353	10	1.850000	1.849000	1.266000	1.848000
Egr1.HOMER	12.522418	1.391380	9	1.945000	1.891000	1.340000	1.893000
EGR1_disc1.POUR	16.253257	1.805917	9	1.867000	1.300000	1.003000	1.270000
EGR1_disc2.POUR	12.404471	1.378275	9	0.957000	1.007000	1.463000	0.984000
EGR1_disc3.POUR	13.539944	1.504438	9	1.309000	0.987000	0.830000	0.972000
EGR1_disc4.POUR	29.247285	1.218637	24	1.047000	0.955000	0.818000	0.914000
EGR1_disc5.POUR	10.375668	1.482238	7	1.749000	1.543000	1.299000	1.535000
EGR1_disc6.POUR	7.414593	0.741459	10	1.746000	1.682000	1.297000	1.662000
EGR1_disc7.POUR	13.396007	1.488445	9	1.568000	1.331000	1.692000	1.321000
EGR1_DBD.JOLMA	15.876846	1.221296	13	1.856000	1.796000	1.046000	1.788000
EGR1_full.JOLMA	19.489658	1.499204	13	1.818000	1.415000	1.164000	1.395000
Egr1_mouse_DBD_mutant_DBD.JOLMA	18.165413	1.211028	15	1.789000	1.601000	1.192000	1.534000
UP00007_1.UNIPROBE	14.027674	1.079052	13	1.901000	1.882000	1.386000	1.885000
UP00007_2.UNIPROBE	9.457575	0.630505	15	1.465000	1.601000	0.824000	1.593000
UP00007.1.ZHAO2011	14.475177	0.851481	17	1.372000	1.329000	1.788000	1.144000
UP00007.2.ZHAO2011	15.349149	0.902891	17	1.369000	1.343000	1.793000	1.145000
UP00400.1.ZHAO2011	3.826546	0.425172	9	1.076000	1.114000	0.895000	1.120000
UP00400.2.ZHAO2011	6.027948	0.669772	9	1.979000	1.987000	1.298000	1.987000
EGR1_1.3DFOOTPRINT	16.250000	1.805556	9	1.841000	1.170000	1.449000	1.152000
EGR1_2.3DFOOTPRINT	15.202047	1.900256	8	1.708000	1.154000	1.010000	1.151000
EGR1_3.3DFOOTPRINT	13.336498	1.667062	8	1.667000	1.146000	1.095000	1.155000
EGR1_1.GUERTIN	12.792505	0.852834	15	1.861000	1.800000	1.053000	1.786000
EGR1_2.GUERTIN	23.250564	1.223714	19	0.996000	0.978000	0.686000	1.026000
EGR1_3.GUERTIN	10.329926	0.688662	15	0.931000	1.157000	0.945000	1.164000
EGR1_4.GUERTIN	27.261338	1.434807	19	1.006000	0.876000	0.743000	0.899000
EGR1.1_1.ZLAB	16.959548	0.807598	21	1.399000	1.256000	0.979000	1.260000
EGR1.1_2.ZLAB	11.973215	0.855230	14	1.251000	1.119000	1.095000	1.093000
EGR1.1_3.ZLAB	21.440999	1.128474	19	1.439000	1.014000	1.441000	1.001000
EGR1.1_4.ZLAB	16.412984	1.172356	14	0.906000	1.036000	0.639000	0.984000
EGR1.1_5.ZLAB	17.419998	1.244286	14	1.271000	0.977000	1.167000	1.002000
Egr1.TF2DNA	10.231428	1.461633	7	1.799000	1.645000	1.452000	1.642000
EGR1.SWISSREGULON	17.044926	1.549539	11	1.878000	1.431000	0.910000	1.384000
M4459_1.02.CIS-BP	16.534271	0.870225	19	1.383000	1.295000	0.968000	1.296000
