Motif_name	Motif_IC	Average_IC	Motif_length	energy	gomer	sumlog	sumoc
MA0592.1.JASPAR	13.611902	1.361190	10	0.941000	0.851000	0.284000	0.833000
ERR1_f1.HOCOMOCO	10.089660	1.261207	8	0.940000	0.966000	0.368000	0.957000
Erra.HOMER	10.838450	1.204272	9	0.946000	0.868000	0.308000	0.860000
ESRRA_disc1.POUR	12.274573	0.876755	14	0.680000	0.627000	0.712000	0.583000
ESRRA_disc2.POUR	11.909616	0.992468	12	0.841000	0.777000	0.414000	0.768000
ESRRA_disc3.POUR	7.330332	0.814481	9	0.773000	0.727000	0.336000	0.724000
ESRRA_disc4.POUR	7.375097	0.567315	13	0.472000	0.394000	0.279000	0.406000
ESRRA_DBD_1.JOLMA	13.582472	1.358247	10	0.960000	0.935000	0.288000	0.921000
ESRRA_DBD_2.JOLMA	21.814163	1.363385	16	0.773000	0.571000	0.383000	0.532000
ESRRA_DBD_3.JOLMA	21.895133	1.216396	18	0.808000	0.524000	0.345000	0.515000
ESRRA_DBD_4.JOLMA	11.741767	1.174177	10	0.964000	0.967000	0.449000	0.959000
ESRRA_DBD_5.JOLMA	20.709509	1.294344	16	0.774000	0.563000	0.671000	0.532000
ESRRA_DBD_6.JOLMA	19.492825	1.082935	18	0.817000	0.520000	0.693000	0.514000
Esrra_DBD_1.JOLMA	24.564763	1.535298	16	0.771000	0.539000	0.340000	0.517000
Esrra_DBD_2.JOLMA	17.041804	1.704180	10	0.945000	0.813000	0.352000	0.789000
UP00079_1.UNIPROBE	13.113559	0.819597	16	0.881000	0.687000	0.678000	0.642000
UP00079_2.UNIPROBE	13.045204	0.815325	16	0.708000	0.582000	0.344000	0.565000
UP00079.1.ZHAO2011	16.403732	1.093582	15	0.739000	0.540000	0.693000	0.523000
UP00079.2.ZHAO2011	16.819768	1.121318	15	0.666000	0.560000	0.685000	0.510000
ERRA_1.GUERTIN	13.897442	1.263404	11	0.941000	0.830000	0.489000	0.792000
ERRA_2.GUERTIN	15.561243	1.037416	15	0.424000	0.500000	0.370000	0.500000
ERRA_3.GUERTIN	19.400329	1.021070	19	0.571000	0.500000	0.650000	0.500000
ERRA_4.GUERTIN	22.165707	1.166616	19	0.434000	0.498000	0.302000	0.499000
ESRRA.1_1.ZLAB	11.063599	1.106360	10	0.887000	0.894000	0.653000	0.880000
ESRRA.1_2.ZLAB	29.957259	1.069902	28	0.508000	0.500000	0.531000	0.500000
ESRRA.1_3.ZLAB	11.024292	1.102429	10	0.707000	0.627000	0.340000	0.613000
ESRRA.1_4.ZLAB	45.553531	1.626912	28	0.617000	0.500000	0.678000	0.500000
ESRRA.1_5.ZLAB	17.849752	1.487479	12	0.442000	0.442000	0.291000	0.477000
Esrra.TF2DNA	11.473034	1.639005	7	0.877000	0.726000	0.531000	0.704000
ESRRA.SWISSREGULON	15.436299	1.187408	13	0.899000	0.710000	0.668000	0.682000
M4438_1.02.CIS-BP	12.962783	0.925913	14	0.677000	0.607000	0.586000	0.575000
