Motif_name	Motif_IC	Average_IC	Motif_length	energy	gomer	sumlog	sumoc
MA0592.1.JASPAR	13.611902	1.361190	10	1.861000	1.776000	0.753000	1.748000
ERR1_f1.HOCOMOCO	10.089660	1.261207	8	1.877000	1.935000	0.845000	1.922000
Erra.HOMER	10.838450	1.204272	9	1.894000	1.768000	0.773000	1.754000
ESRRA_disc1.POUR	12.274573	0.876755	14	1.281000	1.360000	1.377000	1.314000
ESRRA_disc2.POUR	11.909616	0.992468	12	1.563000	1.667000	0.897000	1.643000
ESRRA_disc3.POUR	7.330332	0.814481	9	1.495000	1.495000	0.802000	1.489000
ESRRA_disc4.POUR	7.375097	0.567315	13	0.963000	0.888000	0.750000	0.895000
ESRRA_DBD_1.JOLMA	13.582472	1.358247	10	1.902000	1.897000	0.761000	1.876000
ESRRA_DBD_2.JOLMA	21.814163	1.363385	16	1.494000	1.442000	0.844000	1.283000
ESRRA_DBD_3.JOLMA	21.895133	1.216396	18	1.581000	1.435000	0.809000	1.289000
ESRRA_DBD_4.JOLMA	11.741767	1.174177	10	1.908000	1.948000	0.968000	1.935000
ESRRA_DBD_5.JOLMA	20.709509	1.294344	16	1.494000	1.433000	1.308000	1.238000
ESRRA_DBD_6.JOLMA	19.492825	1.082935	18	1.604000	1.462000	1.326000	1.326000
Esrra_DBD_1.JOLMA	24.564763	1.535298	16	1.493000	1.271000	0.808000	1.117000
Esrra_DBD_2.JOLMA	17.041804	1.704180	10	1.869000	1.683000	0.834000	1.638000
UP00079_1.UNIPROBE	13.113559	0.819597	16	1.669000	1.812000	1.320000	1.801000
UP00079_2.UNIPROBE	13.045204	0.815325	16	1.335000	1.480000	0.824000	1.458000
UP00079.1.ZHAO2011	16.403732	1.093582	15	1.461000	1.181000	1.342000	1.115000
UP00079.2.ZHAO2011	16.819768	1.121318	15	1.238000	1.229000	1.335000	1.047000
ERRA_1.GUERTIN	13.897442	1.263404	11	1.842000	1.754000	1.028000	1.696000
ERRA_2.GUERTIN	15.561243	1.037416	15	0.883000	0.944000	0.848000	0.946000
ERRA_3.GUERTIN	19.400329	1.021070	19	1.162000	1.050000	1.275000	1.059000
ERRA_4.GUERTIN	22.165707	1.166616	19	0.905000	0.899000	0.769000	0.919000
ESRRA.1_1.ZLAB	11.063599	1.106360	10	1.712000	1.823000	1.253000	1.801000
ESRRA.1_2.ZLAB	29.957259	1.069902	28	0.996000	0.933000	1.129000	0.942000
ESRRA.1_3.ZLAB	11.024292	1.102429	10	1.385000	1.335000	0.810000	1.321000
ESRRA.1_4.ZLAB	45.553531	1.626912	28	1.194000	0.979000	1.310000	0.987000
ESRRA.1_5.ZLAB	17.849752	1.487479	12	0.905000	0.921000	0.762000	0.956000
Esrra.TF2DNA	11.473034	1.639005	7	1.766000	1.565000	1.101000	1.539000
ESRRA.SWISSREGULON	15.436299	1.187408	13	1.740000	1.553000	1.319000	1.502000
M4438_1.02.CIS-BP	12.962783	0.925913	14	1.276000	1.325000	1.210000	1.273000
