Motif_name	Motif_IC	Average_IC	Motif_length	energy	gomer	sumlog	sumoc
MA0037.2.JASPAR	11.796234	1.685176	7	0.920000	0.684000	0.783000	0.693000
GATA3_si.HOCOMOCO	8.769070	1.252724	7	0.985000	0.989000	0.552000	0.988000
GATA3_1.HOMER	16.031944	1.145139	14	0.888000	0.736000	0.931000	0.671000
GATA3_2.HOMER	15.724328	0.827596	19	0.873000	0.525000	0.914000	0.525000
GATA3_3.HOMER	14.720967	0.774788	19	0.899000	0.525000	0.920000	0.523000
GATA3_4.HOMER	14.018997	1.001357	14	0.874000	0.727000	0.933000	0.649000
GATA3_5.HOMER	8.223262	1.174752	7	0.956000	0.974000	0.927000	0.973000
GATA_disc4.POUR	11.632009	1.661716	7	0.847000	0.618000	0.874000	0.591000
GATA_disc5.POUR	13.701205	1.712651	8	0.318000	0.296000	0.050000	0.378000
GATA3_DBD.JOLMA	7.714744	1.102106	7	0.963000	0.979000	0.899000	0.976000
GATA3_full.JOLMA	6.920683	0.988669	7	0.954000	0.973000	0.927000	0.971000
UP00032_1.UNIPROBE	14.254147	0.678769	21	0.927000	0.515000	0.924000	0.512000
UP00032_2.UNIPROBE	9.586398	0.456495	21	0.887000	0.504000	0.922000	0.501000
UP00032.1.ZHAO2011	17.892109	0.777918	23	0.593000	0.500000	0.681000	0.500000
UP00032.2.ZHAO2011	14.623167	0.860186	17	0.865000	0.534000	0.935000	0.524000
UP00032.3.ZHAO2011	15.403291	0.906076	17	0.857000	0.538000	0.936000	0.519000
UP00032.4.ZHAO2011	19.107891	0.489946	39	0.682000	0.500000	0.889000	0.500000
GATA3_1.3DFOOTPRINT	11.356255	1.261806	9	0.878000	0.891000	0.935000	0.873000
GATA3_2.3DFOOTPRINT	12.899476	1.289948	10	0.792000	0.711000	0.210000	0.627000
GATA3_3.3DFOOTPRINT	2.702648	0.900883	3	0.534000	0.932000	0.408000	0.944000
GATA3_1.GUERTIN	12.991875	1.181080	11	0.869000	0.794000	0.804000	0.771000
GATA3_2.GUERTIN	13.625243	1.238658	11	0.943000	0.728000	0.927000	0.701000
GATA3_3.GUERTIN	10.052209	1.675368	6	0.247000	0.298000	0.500000	0.327000
GATA3_4.GUERTIN	9.033954	1.505659	6	0.318000	0.379000	0.052000	0.371000
GATA3.2_1.ZLAB	14.841083	1.060077	14	0.882000	0.673000	0.922000	0.634000
GATA3.2_2.ZLAB	12.608394	0.900600	14	0.872000	0.743000	0.851000	0.657000
GATA3.2_3.ZLAB	10.878944	1.087894	10	0.651000	0.597000	0.937000	0.593000
GATA3.2_4.ZLAB	10.878159	1.087816	10	0.216000	0.266000	0.561000	0.298000
GATA3.2_5.ZLAB	37.197513	1.430674	26	0.465000	0.500000	0.826000	0.500000
Gata3.TF2DNA	8.694524	1.242075	7	0.758000	0.650000	0.824000	0.657000
GATA3.SWISSREGULON	8.028356	1.605671	5	0.887000	0.890000	0.766000	0.898000
M4665_1.02.CIS-BP	15.006038	1.071860	14	0.860000	0.703000	0.878000	0.634000
