Motif_name	Motif_IC	Average_IC	Motif_length	energy	gomer	sumlog	sumoc
MA0114.2.JASPAR	13.594652	0.971047	14	0.796000	0.716000	0.345000	0.685000
HNF4A_f1.HOCOMOCO	11.038071	0.919839	12	0.790000	0.796000	0.390000	0.758000
HNF4a.HOMER	13.555937	0.903729	15	0.799000	0.686000	0.610000	0.646000
HNF4_disc1.POUR	11.983086	0.998591	12	0.742000	0.755000	0.469000	0.721000
HNF4_disc2.POUR	12.974968	1.621871	8	0.701000	0.499000	0.649000	0.487000
HNF4_disc3.POUR	13.386143	1.673268	8	0.802000	0.450000	0.638000	0.446000
HNF4_disc4.POUR	13.064848	1.633106	8	0.421000	0.363000	0.631000	0.420000
HNF4_disc5.POUR	13.476305	1.684538	8	0.661000	0.505000	0.325000	0.477000
HNF4A_DBD_1.JOLMA	20.108220	1.340548	15	0.801000	0.601000	0.623000	0.566000
HNF4A_DBD_2.JOLMA	19.586791	1.305786	15	0.812000	0.579000	0.307000	0.566000
HNF4A_full_1.JOLMA	20.991326	1.399422	15	0.812000	0.606000	0.577000	0.573000
HNF4A_full_2.JOLMA	21.289524	1.637656	13	0.858000	0.582000	0.298000	0.595000
HNF4A_full_3.JOLMA	20.773926	1.384928	15	0.824000	0.607000	0.485000	0.583000
HNF4A_full_4.JOLMA	20.469538	1.462110	14	0.843000	0.627000	0.295000	0.585000
Hnf4a_DBD.JOLMA	21.275946	1.418396	15	0.846000	0.602000	0.322000	0.574000
hnf4.MacIsaac	9.488705	1.355529	7	0.874000	0.934000	0.354000	0.939000
hnf4_1.MacIsaac	11.211566	0.862428	13	0.565000	0.587000	0.540000	0.539000
hnf4_2.MacIsaac	14.049867	1.003562	14	0.605000	0.571000	0.483000	0.519000
hnf4_3.MacIsaac	17.623317	1.258808	14	0.709000	0.581000	0.288000	0.573000
hnf4_4.MacIsaac	15.120919	1.374629	11	0.668000	0.566000	0.303000	0.588000
hnf4_5.MacIsaac	13.201769	1.320177	10	0.820000	0.769000	0.726000	0.788000
hnf4_6.MacIsaac	15.229971	1.015331	15	0.707000	0.607000	0.569000	0.575000
hnf4_7.MacIsaac	18.867573	1.451352	13	0.834000	0.684000	0.287000	0.652000
UP00066_1.UNIPROBE	12.442590	0.777662	16	0.866000	0.738000	0.442000	0.702000
UP00066_2.UNIPROBE	14.032859	0.935524	15	0.808000	0.660000	0.650000	0.646000
UP00066.1.ZHAO2011	19.990326	1.052122	19	0.608000	0.503000	0.698000	0.502000
UP00066.2.ZHAO2011	13.391269	0.743959	18	0.633000	0.508000	0.603000	0.504000
Hnf4a_1.3DFOOTPRINT	4.955005	1.238751	4	0.537000	0.651000	0.316000	0.645000
Hnf4a_2.3DFOOTPRINT	14.821897	1.347445	11	0.736000	0.587000	0.555000	0.527000
Hnf4a_3.3DFOOTPRINT	10.133151	1.013315	10	0.657000	0.569000	0.274000	0.529000
Hnf4a_4.3DFOOTPRINT	3.975915	0.993979	4	0.635000	0.768000	0.306000	0.766000
Hnf4a_5.3DFOOTPRINT	15.033036	1.366640	11	0.731000	0.586000	0.274000	0.454000
HNF4A_1.GUERTIN	12.178543	0.811903	15	0.789000	0.716000	0.656000	0.662000
HNF4A_2.GUERTIN	15.363877	1.024258	15	0.559000	0.524000	0.531000	0.517000
HNF4A_3.GUERTIN	23.163208	1.544214	15	0.474000	0.470000	0.377000	0.494000
HNF4A_4.GUERTIN	12.706169	0.668746	19	0.417000	0.503000	0.339000	0.505000
HNF4.1_1.ZLAB	12.463622	0.958740	13	0.802000	0.769000	0.320000	0.744000
HNF4.1_2.ZLAB	11.374301	1.624900	7	0.578000	0.436000	0.500000	0.457000
HNF4.1_3.ZLAB	11.036943	1.103694	10	0.794000	0.730000	0.732000	0.717000
HNF4.1_4.ZLAB	12.689349	1.268935	10	0.521000	0.479000	0.700000	0.463000
HNF4.1_5.ZLAB	13.083259	1.308326	10	0.479000	0.406000	0.301000	0.447000
Hnf4a.TF2DNA	8.738937	1.248420	7	0.848000	0.662000	0.638000	0.672000
HNF4A.SWISSREGULON	11.532266	0.887097	13	0.766000	0.741000	0.290000	0.706000
M4698_1.02.CIS-BP	13.573942	0.969567	14	0.791000	0.698000	0.302000	0.676000
