Motif_name	Motif_IC	Average_IC	Motif_length	energy	gomer	sumlog	sumoc
MA0114.2.JASPAR	13.594652	0.971047	14	1.568000	1.568000	0.881000	1.534000
HNF4A_f1.HOCOMOCO	11.038071	0.919839	12	1.524000	1.655000	0.878000	1.597000
HNF4a.HOMER	13.555937	0.903729	15	1.564000	1.598000	1.225000	1.563000
HNF4_disc1.POUR	11.983086	0.998591	12	1.433000	1.574000	0.987000	1.527000
HNF4_disc2.POUR	12.974968	1.621871	8	1.367000	1.017000	1.243000	1.028000
HNF4_disc3.POUR	13.386143	1.673268	8	1.532000	1.104000	1.261000	1.079000
HNF4_disc4.POUR	13.064848	1.633106	8	0.916000	0.820000	1.216000	0.862000
HNF4_disc5.POUR	13.476305	1.684538	8	1.290000	1.133000	0.816000	1.084000
HNF4A_DBD_1.JOLMA	20.108220	1.340548	15	1.548000	1.368000	1.219000	1.277000
HNF4A_DBD_2.JOLMA	19.586791	1.305786	15	1.569000	1.327000	0.785000	1.310000
HNF4A_full_1.JOLMA	20.991326	1.399422	15	1.552000	1.365000	1.177000	1.291000
HNF4A_full_2.JOLMA	21.289524	1.637656	13	1.669000	1.288000	0.775000	1.251000
HNF4A_full_3.JOLMA	20.773926	1.384928	15	1.594000	1.377000	1.028000	1.326000
HNF4A_full_4.JOLMA	20.469538	1.462110	14	1.655000	1.400000	0.777000	1.302000
Hnf4a_DBD.JOLMA	21.275946	1.418396	15	1.642000	1.354000	0.793000	1.293000
hnf4.MacIsaac	9.488705	1.355529	7	1.747000	1.898000	0.821000	1.900000
hnf4_1.MacIsaac	11.211566	0.862428	13	1.106000	1.185000	1.082000	1.119000
hnf4_2.MacIsaac	14.049867	1.003562	14	1.195000	1.187000	0.993000	1.163000
hnf4_3.MacIsaac	17.623317	1.258808	14	1.403000	1.302000	0.760000	1.310000
hnf4_4.MacIsaac	15.120919	1.374629	11	1.244000	1.222000	0.776000	1.250000
hnf4_5.MacIsaac	13.201769	1.320177	10	1.609000	1.602000	1.431000	1.608000
hnf4_6.MacIsaac	15.229971	1.015331	15	1.386000	1.453000	1.130000	1.406000
hnf4_7.MacIsaac	18.867573	1.451352	13	1.636000	1.465000	0.758000	1.445000
UP00066_1.UNIPROBE	12.442590	0.777662	16	1.676000	1.772000	1.035000	1.783000
UP00066_2.UNIPROBE	14.032859	0.935524	15	1.523000	1.607000	1.269000	1.637000
UP00066.1.ZHAO2011	19.990326	1.052122	19	1.195000	1.230000	1.365000	1.074000
UP00066.2.ZHAO2011	13.391269	0.743959	18	1.236000	1.396000	1.173000	1.232000
Hnf4a_1.3DFOOTPRINT	4.955005	1.238751	4	1.205000	1.252000	0.808000	1.239000
Hnf4a_2.3DFOOTPRINT	14.821897	1.347445	11	1.408000	1.281000	1.106000	1.194000
Hnf4a_3.3DFOOTPRINT	10.133151	1.013315	10	1.276000	1.199000	0.765000	1.150000
Hnf4a_4.3DFOOTPRINT	3.975915	0.993979	4	1.446000	1.510000	0.781000	1.503000
Hnf4a_5.3DFOOTPRINT	15.033036	1.366640	11	1.445000	1.278000	0.756000	1.071000
HNF4A_1.GUERTIN	12.178543	0.811903	15	1.537000	1.605000	1.286000	1.581000
HNF4A_2.GUERTIN	15.363877	1.024258	15	1.128000	1.174000	1.059000	1.150000
HNF4A_3.GUERTIN	23.163208	1.544214	15	0.959000	0.941000	0.851000	1.018000
HNF4A_4.GUERTIN	12.706169	0.668746	19	0.877000	0.844000	0.828000	0.860000
HNF4.1_1.ZLAB	12.463622	0.958740	13	1.543000	1.636000	0.813000	1.589000
HNF4.1_2.ZLAB	11.374301	1.624900	7	1.179000	1.013000	1.003000	1.020000
HNF4.1_3.ZLAB	11.036943	1.103694	10	1.638000	1.574000	1.469000	1.557000
HNF4.1_4.ZLAB	12.689349	1.268935	10	1.024000	0.985000	1.363000	0.950000
HNF4.1_5.ZLAB	13.083259	1.308326	10	0.944000	0.932000	0.778000	0.954000
Hnf4a.TF2DNA	8.738937	1.248420	7	1.640000	1.504000	1.229000	1.509000
HNF4A.SWISSREGULON	11.532266	0.887097	13	1.481000	1.563000	0.757000	1.527000
M4698_1.02.CIS-BP	13.573942	0.969567	14	1.544000	1.540000	0.785000	1.514000
