Motif_name	Motif_IC	Average_IC	Motif_length	energy	gomer	sumlog	sumoc
MA0496.1.JASPAR	13.586347	0.970453	14	0.969000	1.000000	0.930000	0.957000
MAFK_si.HOCOMOCO	15.601721	1.733525	9	0.676000	0.785000	0.199000	0.734000
MafK.HOMER	11.032398	1.002945	11	0.727000	0.797000	0.977000	0.828000
MAFK_DBD_1.JOLMA	11.449495	1.040863	11	0.977000	0.977000	0.922000	0.961000
MAFK_DBD_2.JOLMA	12.622303	0.631115	20	0.875000	0.594000	0.906000	0.531000
MAFK_full_1.JOLMA	11.088858	1.008078	11	0.977000	0.969000	0.914000	0.961000
MAFK_full_2.JOLMA	13.511280	0.965091	14	0.883000	0.742000	0.984000	0.680000
UP00044_1.UNIPROBE	12.475517	0.891108	14	0.969000	1.000000	0.938000	0.949000
UP00044_2.UNIPROBE	10.458653	0.747047	14	0.930000	0.766000	0.938000	0.688000
UP00044.1.ZHAO2011	20.130101	0.745559	27	0.555000	0.500000	0.680000	0.500000
UP00044.2.ZHAO2011	17.338345	0.753841	23	0.625000	0.500000	0.602000	0.500000
MAFK_1.GUERTIN	12.771685	0.672194	19	0.859000	0.625000	0.914000	0.500000
MAFK_2.GUERTIN	15.168479	1.011232	15	0.180000	0.164000	0.125000	0.344000
MAFK_3.GUERTIN	12.881564	0.858771	15	0.219000	0.246000	0.133000	0.500000
MAFK_4.GUERTIN	18.495201	1.233013	15	0.852000	0.906000	0.945000	0.508000
Mafk.TF2DNA	9.950419	1.421488	7	0.719000	0.719000	0.750000	0.781000
M2296_1.02.CIS-BP	13.586347	0.970453	14	0.969000	1.000000	0.930000	0.957000
