Motif_name	Motif_IC	Average_IC	Motif_length	energy	gomer	sumlog	sumoc
MA0496.1.JASPAR	13.586347	0.970453	14	1.932000	2.000000	1.861000	1.931000
MAFK_si.HOCOMOCO	15.601721	1.733525	9	1.530000	1.585000	0.827000	1.601000
MafK.HOMER	11.032398	1.002945	11	1.571000	1.607000	1.959000	1.628000
MAFK_DBD_1.JOLMA	11.449495	1.040863	11	1.953000	1.959000	1.866000	1.952000
MAFK_DBD_2.JOLMA	12.622303	0.631115	20	1.744000	1.728000	1.876000	1.625000
MAFK_full_1.JOLMA	11.088858	1.008078	11	1.953000	1.947000	1.858000	1.952000
MAFK_full_2.JOLMA	13.511280	0.965091	14	1.825000	1.555000	1.970000	1.489000
UP00044_1.UNIPROBE	12.475517	0.891108	14	1.947000	2.000000	1.899000	1.921000
UP00044_2.UNIPROBE	10.458653	0.747047	14	1.903000	1.522000	1.903000	1.381000
UP00044.1.ZHAO2011	20.130101	0.745559	27	1.351000	1.151000	1.373000	1.134000
UP00044.2.ZHAO2011	17.338345	0.753841	23	1.516000	1.578000	1.325000	1.127000
MAFK_1.GUERTIN	12.771685	0.672194	19	1.716000	1.952000	1.839000	1.986000
MAFK_2.GUERTIN	15.168479	1.011232	15	0.796000	0.790000	0.767000	0.924000
MAFK_3.GUERTIN	12.881564	0.858771	15	0.846000	1.028000	0.767000	1.115000
MAFK_4.GUERTIN	18.495201	1.233013	15	1.831000	1.838000	1.924000	1.489000
Mafk.TF2DNA	9.950419	1.421488	7	1.428000	1.600000	1.593000	1.645000
M2296_1.02.CIS-BP	13.586347	0.970453	14	1.932000	2.000000	1.861000	1.931000
