Motif_name	Motif_IC	Average_IC	Motif_length	energy	gomer	sumlog	sumoc
MA0058.2.JASPAR	12.567761	1.396418	9	0.977000	0.954000	0.671000	0.937000
MAX_f1.HOCOMOCO	11.611340	1.161134	10	0.984000	0.985000	0.678000	0.983000
Max.HOMER	11.292923	1.026629	11	0.995000	0.981000	0.694000	0.979000
MAX_DBD_1.JOLMA	18.770986	1.173187	16	0.863000	0.588000	0.523000	0.548000
MAX_DBD_2.JOLMA	11.221762	1.246862	9	0.993000	0.993000	0.639000	0.992000
UP00060_1.UNIPROBE	12.002915	0.800194	15	0.958000	0.929000	0.647000	0.915000
UP00060_2.UNIPROBE	9.202370	0.707875	13	0.881000	0.871000	0.671000	0.846000
UP00060.1.ZHAO2011	28.277967	0.975102	29	0.739000	0.500000	0.435000	0.500000
UP00060.2.ZHAO2011	19.504618	1.083590	18	0.709000	0.509000	0.583000	0.506000
UP00060.3.ZHAO2011	19.484570	1.082476	18	0.708000	0.509000	0.598000	0.506000
UP00060.4.ZHAO2011	21.389545	1.188308	18	0.768000	0.511000	0.595000	0.505000
Max_1.3DFOOTPRINT	3.343170	1.114390	3	0.544000	0.694000	0.572000	0.662000
Max_2.3DFOOTPRINT	13.202047	1.886007	7	0.982000	0.882000	0.684000	0.859000
Max_3.3DFOOTPRINT	6.748370	1.687093	4	0.697000	0.795000	0.500000	0.778000
Max_1.GUERTIN	11.785069	1.071370	11	0.990000	0.969000	0.405000	0.969000
Max_2.GUERTIN	14.489842	1.034989	14	0.700000	0.642000	0.514000	0.604000
Max_3.GUERTIN	20.539586	1.081031	19	0.543000	0.500000	0.628000	0.500000
Max_4.GUERTIN	16.633578	1.512143	11	0.554000	0.486000	0.421000	0.488000
MAX.1_1.ZLAB	13.242696	1.018669	13	0.984000	0.943000	0.658000	0.930000
MAX.1_2.ZLAB	13.712123	1.371212	10	0.970000	0.841000	0.644000	0.758000
MAX.1_3.ZLAB	13.093420	1.870489	7	0.421000	0.445000	0.671000	0.478000
MAX.1_4.ZLAB	17.884395	1.277457	14	0.679000	0.499000	0.635000	0.503000
MAX.1_5.ZLAB	14.447444	0.722372	20	0.389000	0.499000	0.588000	0.498000
Max.TF2DNA	8.465501	1.209357	7	0.722000	0.732000	0.662000	0.721000
M1889_1.02.CIS-BP	12.567761	1.396418	9	0.977000	0.954000	0.671000	0.937000
