Motif_name	Motif_IC	Average_IC	Motif_length	energy	gomer	sumlog	sumoc
MA0058.2.JASPAR	12.567761	1.396418	9	1.957000	1.934000	1.287000	1.916000
MAX_f1.HOCOMOCO	11.611340	1.161134	10	1.952000	1.979000	1.327000	1.974000
Max.HOMER	11.292923	1.026629	11	1.990000	1.968000	1.373000	1.964000
MAX_DBD_1.JOLMA	18.770986	1.173187	16	1.703000	1.393000	1.073000	1.346000
MAX_DBD_2.JOLMA	11.221762	1.246862	9	1.987000	1.988000	1.257000	1.986000
UP00060_1.UNIPROBE	12.002915	0.800194	15	1.887000	1.920000	1.290000	1.914000
UP00060_2.UNIPROBE	9.202370	0.707875	13	1.773000	1.758000	1.297000	1.728000
UP00060.1.ZHAO2011	28.277967	0.975102	29	1.443000	1.030000	0.905000	0.993000
UP00060.2.ZHAO2011	19.504618	1.083590	18	1.402000	1.142000	1.131000	1.060000
UP00060.3.ZHAO2011	19.484570	1.082476	18	1.405000	1.142000	1.156000	1.066000
UP00060.4.ZHAO2011	21.389545	1.188308	18	1.527000	1.168000	1.150000	1.066000
Max_1.3DFOOTPRINT	3.343170	1.114390	3	1.124000	1.343000	1.132000	1.292000
Max_2.3DFOOTPRINT	13.202047	1.886007	7	1.965000	1.834000	1.323000	1.801000
Max_3.3DFOOTPRINT	6.748370	1.687093	4	1.451000	1.577000	1.003000	1.538000
Max_1.GUERTIN	11.785069	1.071370	11	1.978000	1.950000	0.874000	1.950000
Max_2.GUERTIN	14.489842	1.034989	14	1.410000	1.377000	1.061000	1.364000
Max_3.GUERTIN	20.539586	1.081031	19	1.102000	1.079000	1.237000	1.035000
Max_4.GUERTIN	16.633578	1.512143	11	1.148000	1.009000	0.912000	1.004000
MAX.1_1.ZLAB	13.242696	1.018669	13	1.954000	1.915000	1.289000	1.906000
MAX.1_2.ZLAB	13.712123	1.371212	10	1.937000	1.770000	1.240000	1.663000
MAX.1_3.ZLAB	13.093420	1.870489	7	0.908000	0.920000	1.330000	0.962000
MAX.1_4.ZLAB	17.884395	1.277457	14	1.392000	1.031000	1.194000	1.036000
MAX.1_5.ZLAB	14.447444	0.722372	20	0.878000	0.951000	1.160000	0.949000
Max.TF2DNA	8.465501	1.209357	7	1.466000	1.402000	1.311000	1.394000
M1889_1.02.CIS-BP	12.567761	1.396418	9	1.957000	1.934000	1.287000	1.916000
