Motif_name	Motif_IC	Average_IC	Motif_length	energy	gomer	sumlog	sumoc
MA0507.1.JASPAR	15.046107	1.253842	12	0.866000	0.735000	0.947000	0.660000
PO2F2_si.HOCOMOCO	13.968438	1.746055	8	0.783000	0.770000	0.952000	0.637000
Oct4_1.HOMER	14.640873	1.626764	9	0.807000	0.792000	0.958000	0.741000
POU2F2_disc1.POUR	8.239147	1.177021	7	0.697000	0.755000	0.959000	0.739000
POU2F2_disc2.POUR	7.485009	0.623751	12	0.226000	0.213000	0.045000	0.243000
POU2F2_DBD_1.JOLMA	10.440903	1.044090	10	0.895000	0.907000	0.956000	0.884000
POU2F2_DBD_2.JOLMA	8.806740	0.677442	13	0.923000	0.932000	0.951000	0.867000
Pou2f2_DBD_1.JOLMA	15.903738	1.223364	13	0.876000	0.693000	0.949000	0.606000
Pou2f2_DBD_2.JOLMA	12.789546	1.598693	8	0.798000	0.823000	0.951000	0.803000
UP00191_1.UNIPROBE	14.252469	0.950165	15	0.911000	0.650000	0.946000	0.632000
UP00191.1.ZHAO2011	16.116708	1.074447	15	0.718000	0.541000	0.447000	0.522000
OCT2_1.GUERTIN	23.416594	1.232452	19	0.650000	0.498000	0.188000	0.499000
OCT2_2.GUERTIN	30.588115	1.609901	19	0.629000	0.500000	0.931000	0.501000
OCT2_3.GUERTIN	19.686930	1.312462	15	0.680000	0.517000	0.919000	0.510000
OCT2_4.GUERTIN	29.197792	1.536726	19	0.634000	0.499000	0.930000	0.500000
POU2F2.1_1.ZLAB	13.618449	1.134871	12	0.855000	0.790000	0.953000	0.740000
POU2F2.1_2.ZLAB	12.468210	1.246821	10	0.291000	0.363000	0.956000	0.439000
POU2F2.1_3.ZLAB	49.135607	1.694331	29	0.611000	0.500000	0.913000	0.500000
POU2F2.1_4.ZLAB	15.907746	1.223673	13	0.462000	0.459000	0.521000	0.471000
POU2F2.1_5.ZLAB	26.593414	1.329671	20	0.185000	0.498000	0.074000	0.499000
Pou2f2.TF2DNA	9.817302	1.227163	8	0.944000	0.909000	0.932000	0.911000
POU2F2.SWISSREGULON	17.521546	1.460129	12	0.866000	0.696000	0.956000	0.627000
M2306_1.02.CIS-BP	15.046107	1.253842	12	0.866000	0.735000	0.947000	0.660000
