Motif_name	Motif_IC	Average_IC	Motif_length	energy	gomer	sumlog	sumoc
E2A_1.HOMER	11.385580	1.265064	9	0.333000	0.333000	0.028000	0.611000
E2A_2.HOMER	11.919741	1.324416	9	0.639000	0.444000	0.028000	0.611000
E-box.HOMER	14.636387	1.330581	11	0.389000	0.167000	0.056000	0.139000
TCF3_DBD.JOLMA	11.388434	1.265382	9	0.583000	0.333000	0.000000	0.694000
UP00058_1.UNIPROBE	11.971684	0.748230	16	1.000000	0.917000	1.000000	0.917000
UP00046_1.UNIPROBE	11.912928	0.744558	16	0.500000	0.556000	0.000000	0.667000
UP00058_2.UNIPROBE	2.646869	0.189062	14	0.944000	1.000000	0.972000	1.000000
UP00046_2.UNIPROBE	11.613522	0.725845	16	0.528000	0.611000	0.000000	0.583000
UP00058.1.ZHAO2011	1.778534	0.197615	9	1.000000	1.000000	1.000000	1.000000
UP00058.2.ZHAO2011	1.493659	0.165962	9	1.000000	1.000000	0.972000	1.000000
UP00046.1.ZHAO2011	10.131050	1.125672	9	0.500000	0.417000	0.056000	0.722000
UP00046.2.ZHAO2011	10.084773	1.120530	9	0.528000	0.389000	0.028000	0.667000
TCF3_1.GUERTIN	17.605268	0.926593	19	0.500000	0.583000	0.028000	0.583000
TCF3_2.GUERTIN	11.397238	1.424655	8	0.389000	0.333000	0.250000	0.667000
TCF3_3.GUERTIN	30.626174	1.611904	19	0.667000	0.500000	0.000000	0.500000
TCF3_4.GUERTIN	15.494646	0.815508	19	0.875000	0.667000	1.000000	0.667000
Tcf3.TF2DNA	9.158512	1.308359	7	0.583000	0.472000	0.389000	0.500000
TCF3.SWISSREGULON	12.832396	0.987107	13	0.472000	0.806000	1.000000	0.986000
M6516_1.02.CIS-BP	10.944965	1.094496	10	0.417000	0.500000	0.028000	0.722000
