Motif	JASPAR	HOCOMOCO	HOMER	POUR	JOLMA	GUERTIN	ZLAB	TF2DNA	SWISSREGULON	CIS-BP
gata3	1.216	1.476	1.218	1.315	1.343	1.164	1.253	1.008	1.225	1.242
hnf4a	1.859	1.851	1.860	1.816	1.784	1.863	1.825	1.375	1.769	1.861
pou2f2	1.467	1.451	1.482	1.428	1.446	1.019	1.475	1.135	1.451	1.467
yy1	1.686	1.692	1.696	1.690	1.679	1.703	1.731	1.132	1.424	1.686
ctcf	1.965	1.963	1.957	1.937	1.946	1.952	1.944	0.925	1.954	1.965
cebpb	1.794	1.776	1.646	1.660	1.710	1.849	1.851	1.074	1.577	1.794
mef2a	1.774	1.693	1.669	1.777	1.669	1.790	1.779	1.258	1.539	1.774
esrra	1.564	1.598	1.676	1.391	1.552	1.515	1.602	1.536	1.535	1.437
prdm1	1.887	1.876	1.829	1.883	1.869	1.901	1.903	1.450	1.891	1.887
pax5	1.669	1.672	1.578	1.654	1.653	1.356	1.665	0.961	1.442	1.626
elf1	1.701	1.791	1.817	1.746	1.765	1.798	1.823	1.636	1.587	1.701
