Motif	JASPAR	HOCOMOCO	HOMER	POUR	JOLMA	GUERTIN	ZLAB	TF2DNA	SWISSREGULON	CIS-BP
gata3	0.593	0.759	0.589	0.610	0.682	0.602	0.634	0.452	0.615	0.622
hnf4a	0.946	0.945	0.938	0.923	0.710	0.941	0.946	0.721	0.901	0.934
pou2f2	0.811	0.785	0.808	0.790	0.801	0.501	0.828	0.543	0.739	0.811
yy1	0.885	0.894	0.871	0.565	0.883	0.897	0.897	0.498	0.716	0.885
ctcf	0.926	0.931	0.844	0.596	0.862	0.967	0.972	0.448	0.817	0.794
cebpb	0.919	0.917	0.845	0.727	0.897	0.935	0.937	0.459	0.782	0.919
mef2a	0.896	0.814	0.837	0.894	0.803	0.904	0.906	0.561	0.774	0.896
esrra	0.835	0.847	0.855	0.685	0.821	0.780	0.865	0.735	0.749	0.665
prdm1	0.953	0.938	0.925	0.819	0.935	0.957	0.966	0.643	0.931	0.953
pax5	0.655	0.645	0.792	0.645	0.661	0.515	0.843	0.447	0.538	0.851
elf1	0.909	0.922	0.942	0.912	0.897	0.928	0.937	0.830	0.838	0.909
