Motif	JASPAR	HOCOMOCO	HOMER	POUR	JOLMA	GUERTIN	ZLAB	TF2DNA	SWISSREGULON	CIS-BP
gata3	0.425	0.463	0.408	0.426	0.410	0.426	0.408	0.425	0.421	0.412
hnf4a	0.584	0.419	0.384	0.401	0.384	0.385	0.615	0.388	0.603	0.615
pou2f2	0.457	0.464	0.458	0.454	0.456	0.547	0.458	0.453	0.458	0.457
yy1	0.342	0.346	0.637	0.374	0.348	0.349	0.651	0.356	0.551	0.342
ctcf	0.754	0.245	0.247	0.754	0.750	0.351	0.245	0.248	0.728	0.743
cebpb	0.579	0.411	0.593	0.591	0.570	0.591	0.591	0.530	0.409	0.579
mef2a	0.497	0.498	0.497	0.498	0.497	0.497	0.497	0.496	0.498	0.497
esrra	0.375	0.390	0.374	0.625	0.374	0.451	0.628	0.507	0.627	0.578
prdm1	0.459	0.459	0.458	0.465	0.463	0.486	0.458	0.456	0.463	0.459
pax5	0.680	0.680	0.682	0.681	0.670	0.679	0.678	0.538	0.652	0.682
elf1	0.510	0.271	0.269	0.519	0.724	0.274	0.281	0.730	0.737	0.510
