Motif	JASPAR	HOCOMOCO	HOMER	POUR	JOLMA	GUERTIN	ZLAB	TF2DNA	SWISSREGULON	CIS-BP
gata3	0.859	0.938	0.830	0.860	0.833	0.859	0.830	0.857	0.854	0.835
hnf4a	1.108	0.852	0.810	0.831	0.810	0.812	1.117	0.817	1.090	1.115
pou2f2	0.875	0.883	0.875	0.872	0.874	1.054	0.875	0.871	0.876	0.875
yy1	0.776	0.778	1.161	0.802	0.780	0.780	1.154	0.786	1.011	0.776
ctcf	1.399	0.715	0.715	1.400	1.391	0.795	0.714	0.716	1.351	1.380
cebpb	1.052	0.834	1.072	1.065	1.088	1.066	1.065	1.019	0.834	1.052
mef2a	0.921	0.922	0.922	0.922	0.921	0.920	0.921	0.921	0.926	0.921
esrra	0.803	0.826	0.803	1.125	0.803	0.905	1.142	0.970	1.137	1.076
prdm1	0.886	0.890	0.888	0.909	0.899	0.951	0.889	0.884	0.898	0.886
pax5	1.232	1.227	1.234	1.231	1.207	1.236	1.221	1.062	1.187	1.236
elf1	1.010	0.729	0.727	0.989	1.298	0.731	0.735	1.312	1.337	1.010
