Motif	JASPAR	HOCOMOCO	HOMER	POUR	JOLMA	GUERTIN	ZLAB	TF2DNA	SWISSREGULON	CIS-BP
gata3	0.596	0.758	0.579	0.612	0.682	0.596	0.614	0.451	0.616	0.604
hnf4a	0.943	0.944	0.921	0.922	0.692	0.930	0.945	0.722	0.902	0.932
pou2f2	0.812	0.794	0.811	0.790	0.801	0.500	0.827	0.542	0.740	0.812
yy1	0.887	0.894	0.874	0.549	0.883	0.897	0.895	0.500	0.712	0.887
ctcf	0.902	0.903	0.802	0.576	0.850	0.965	0.971	0.451	0.780	0.755
cebpb	0.919	0.917	0.846	0.727	0.898	0.934	0.937	0.461	0.783	0.919
mef2a	0.894	0.814	0.837	0.893	0.805	0.903	0.905	0.560	0.775	0.894
esrra	0.837	0.847	0.856	0.644	0.825	0.778	0.864	0.736	0.744	0.628
prdm1	0.951	0.937	0.925	0.818	0.933	0.956	0.965	0.644	0.936	0.951
pax5	0.636	0.615	0.778	0.603	0.628	0.513	0.817	0.448	0.536	0.840
elf1	0.911	0.922	0.941	0.912	0.902	0.928	0.937	0.829	0.840	0.911
