Motif_name	Motif_IC	Average_IC	Motif_length	energy	gomer	sumlog	sumoc
MA0466.1.JASPAR	13.475161	1.347516	10	0.895000	0.919000	0.579000	0.919000
CEBPB_f1.HOCOMOCO	10.419805	1.157756	9	0.889000	0.917000	0.411000	0.917000
CEBP.HOMER	11.202354	1.244706	9	0.834000	0.845000	0.593000	0.846000
CEBPB_disc1.POUR	13.241343	1.471260	9	0.840000	0.727000	0.591000	0.727000
CEBPB_disc2.POUR	13.470955	1.683869	8	0.538000	0.522000	0.408000	0.518000
CEBPB_DBD.JOLMA	12.453528	1.383725	9	0.867000	0.897000	0.570000	0.898000
CEBPB_full.JOLMA	12.668164	1.407574	9	0.868000	0.890000	0.583000	0.891000
CPEB1_full.JOLMA	10.460319	1.494331	7	0.399000	0.384000	0.591000	0.383000
Cebpb_DBD.JOLMA	12.877037	1.430782	9	0.866000	0.888000	0.411000	0.890000
CEBPB_3.3DFOOTPRINT	12.500000	1.562500	8	0.648000	0.524000	0.578000	0.520000
CEBPB_2.3DFOOTPRINT	3.759216	0.939804	4	0.521000	0.558000	0.406000	0.569000
CEBPB_4.3DFOOTPRINT	7.998116	1.142588	7	0.765000	0.781000	0.409000	0.781000
CEBPB_5.3DFOOTPRINT	4.300762	1.433587	3	0.501000	0.520000	0.566000	0.510000
CEBPB_6.3DFOOTPRINT	10.182533	1.272817	8	0.637000	0.652000	0.591000	0.652000
CEBPB_7.3DFOOTPRINT	4.381618	1.460539	3	0.510000	0.510000	0.543000	0.439000
CEBPB_8.3DFOOTPRINT	25.822756	1.359092	19	0.633000	0.501000	0.591000	0.500000
CEBPB_9.3DFOOTPRINT	4.661866	1.165467	4	0.512000	0.521000	0.419000	0.527000
CEBPB_10.3DFOOTPRINT	23.975915	1.331995	18	0.630000	0.500000	0.412000	0.500000
CEBPB_11.3DFOOTPRINT	26.989891	1.420521	19	0.666000	0.500000	0.592000	0.500000
CEBPB_12.3DFOOTPRINT	25.091268	1.393959	18	0.540000	0.498000	0.430000	0.498000
CEBPB_13.3DFOOTPRINT	21.790275	1.281781	17	0.548000	0.500000	0.418000	0.499000
CEBPB_14.3DFOOTPRINT	3.113819	1.037940	3	0.510000	0.497000	0.591000	0.407000
CEBPB_15.3DFOOTPRINT	21.626218	1.351639	16	0.540000	0.501000	0.580000	0.500000
CEBPB_16.3DFOOTPRINT	5.335931	1.067186	5	0.476000	0.397000	0.592000	0.397000
CEBPB_17.3DFOOTPRINT	8.321029	1.664206	5	0.713000	0.721000	0.580000	0.771000
CEBPB_18.3DFOOTPRINT	7.779473	0.972434	8	0.801000	0.752000	0.591000	0.753000
CEBPB_19.3DFOOTPRINT	10.560258	1.508608	7	0.751000	0.730000	0.462000	0.730000
CEBPB_20.3DFOOTPRINT	5.202047	1.734016	3	0.507000	0.507000	0.580000	0.467000
CEBPB_1.GUERTIN	12.105477	0.807032	15	0.929000	0.935000	0.591000	0.934000
CEBPB_2.GUERTIN	26.016498	1.369289	19	0.550000	0.499000	0.588000	0.499000
CEBPB_3.GUERTIN	25.750357	1.355282	19	0.563000	0.503000	0.412000	0.503000
CEBPB_4.GUERTIN	24.408360	1.284651	19	0.448000	0.497000	0.587000	0.497000
CEBPB.1_1.ZLAB	12.931631	0.994741	13	0.931000	0.937000	0.591000	0.937000
CEBPB.1_2.ZLAB	34.419081	1.229253	28	0.465000	0.500000	0.585000	0.500000
CEBPB.1_3.ZLAB	28.537113	1.426856	20	0.567000	0.500000	0.412000	0.500000
CEBPB.1_4.ZLAB	15.737465	0.786873	20	0.541000	0.505000	0.434000	0.504000
CEBPB.1_5.ZLAB	14.000000	2.000000	7	0.557000	0.536000	0.581000	0.537000
Cebpb.TF2DNA	9.662372	1.610395	6	0.498000	0.459000	0.530000	0.461000
CEBPB.SWISSREGULON	11.944500	1.085864	11	0.792000	0.782000	0.409000	0.783000
M2268_1.02.CIS-BP	13.475161	1.347516	10	0.895000	0.919000	0.579000	0.919000
