Motif_name	Motif_IC	Average_IC	Motif_length	energy	gomer	sumlog	sumoc	ama
MA0466.1.JASPAR	13.475161	1.347516	10	1.794000	1.829000	1.052000	1.829000	1.829000
CEBPB_f1.HOCOMOCO	10.419805	1.157756	9	1.776000	1.822000	0.834000	1.823000	1.823000
CEBP.HOMER	11.202354	1.244706	9	1.646000	1.729000	1.072000	1.730000	1.730000
CEBPB_disc1.POUR	13.241343	1.471260	9	1.660000	1.580000	1.065000	1.578000	1.578000
CEBPB_disc2.POUR	13.470955	1.683869	8	1.073000	1.059000	0.830000	1.056000	1.056000
CEBPB_DBD.JOLMA	12.453528	1.383725	9	1.710000	1.807000	1.088000	1.808000	1.808000
CEBPB_full.JOLMA	12.668164	1.407574	9	1.714000	1.794000	1.055000	1.796000	1.796000
CPEB1_full.JOLMA	10.460319	1.494331	7	0.929000	0.828000	1.066000	0.826000	0.826000
Cebpb_DBD.JOLMA	12.877037	1.430782	9	1.709000	1.793000	0.834000	1.795000	1.795000
CEBPB_3.3DFOOTPRINT	12.500000	1.562500	8	1.331000	1.085000	1.076000	1.079000	1.079000
CEBPB_2.3DFOOTPRINT	3.759216	0.939804	4	1.059000	1.048000	0.833000	1.061000	1.061000
CEBPB_4.3DFOOTPRINT	7.998116	1.142588	7	1.489000	1.593000	0.834000	1.592000	1.592000
CEBPB_5.3DFOOTPRINT	4.300762	1.433587	3	1.003000	1.028000	1.031000	0.979000	0.979000
CEBPB_6.3DFOOTPRINT	10.182533	1.272817	8	1.236000	1.259000	1.066000	1.259000	1.259000
CEBPB_7.3DFOOTPRINT	4.381618	1.460539	3	1.028000	1.011000	1.018000	0.870000	0.870000
CEBPB_8.3DFOOTPRINT	25.822756	1.359092	19	1.255000	1.030000	1.082000	1.034000	1.034000
CEBPB_9.3DFOOTPRINT	4.661866	1.165467	4	1.046000	0.989000	0.843000	0.994000	0.994000
CEBPB_10.3DFOOTPRINT	23.975915	1.331995	18	1.251000	1.037000	0.834000	1.031000	1.031000
CEBPB_11.3DFOOTPRINT	26.989891	1.420521	19	1.326000	1.023000	1.075000	1.023000	1.023000
CEBPB_12.3DFOOTPRINT	25.091268	1.393959	18	1.074000	0.965000	0.858000	0.968000	0.968000
CEBPB_13.3DFOOTPRINT	21.790275	1.281781	17	1.087000	1.001000	0.842000	1.011000	1.011000
CEBPB_14.3DFOOTPRINT	3.113819	1.037940	3	1.031000	0.832000	1.065000	0.829000	0.829000
CEBPB_15.3DFOOTPRINT	21.626218	1.351639	16	1.075000	0.985000	1.055000	0.987000	0.987000
CEBPB_16.3DFOOTPRINT	5.335931	1.067186	5	0.982000	0.827000	1.072000	0.828000	0.828000
CEBPB_17.3DFOOTPRINT	8.321029	1.664206	5	1.446000	1.325000	1.078000	1.520000	1.520000
CEBPB_18.3DFOOTPRINT	7.779473	0.972434	8	1.515000	1.578000	1.062000	1.579000	1.579000
CEBPB_19.3DFOOTPRINT	10.560258	1.508608	7	1.426000	1.528000	0.904000	1.528000	1.528000
CEBPB_20.3DFOOTPRINT	5.202047	1.734016	3	1.020000	1.008000	1.075000	0.908000	0.908000
CEBPB_1.GUERTIN	12.105477	0.807032	15	1.849000	1.876000	1.066000	1.876000	1.876000
CEBPB_2.GUERTIN	26.016498	1.369289	19	1.150000	1.007000	1.058000	1.012000	1.012000
CEBPB_3.GUERTIN	25.750357	1.355282	19	1.144000	1.055000	0.836000	1.056000	1.056000
CEBPB_4.GUERTIN	24.408360	1.284651	19	0.958000	0.909000	1.061000	0.926000	0.926000
CEBPB.1_1.ZLAB	12.931631	0.994741	13	1.851000	1.883000	1.065000	1.883000	1.883000
CEBPB.1_2.ZLAB	34.419081	1.229253	28	0.974000	0.978000	1.065000	0.967000	0.967000
CEBPB.1_3.ZLAB	28.537113	1.426856	20	1.175000	0.999000	0.835000	1.003000	1.003000
CEBPB.1_4.ZLAB	15.737465	0.786873	20	1.157000	1.038000	0.867000	1.033000	1.033000
CEBPB.1_5.ZLAB	14.000000	2.000000	7	1.077000	1.114000	1.082000	1.110000	1.110000
Cebpb.TF2DNA	9.662372	1.610395	6	1.074000	0.954000	1.019000	0.949000	0.949000
CEBPB.SWISSREGULON	11.944500	1.085864	11	1.577000	1.570000	0.834000	1.572000	1.572000
M2268_1.02.CIS-BP	13.475161	1.347516	10	1.794000	1.829000	1.052000	1.829000	1.829000
