Motif	UwGm06990Ctcf-100	UtaMcf7CtcfSerumstim-100	HaibK562CtcfcPcr1x-100	UwHmfCtcf-100	UwHpafCtcf-100	UwGm12878Ctcf-100	HaibA549Ctcfsc5916Pcr1xEtoh02-100	UwAg10803Ctcf-100	UtaGm19238Ctcf-100	SydhImr90CtcfbIggrab-100	Average
CTCF.1_1.ZLAB	113.04	162.64	6.88	203.98	136.01	161.97	1.12	197.34	167.97	19.18	117.01
CTCF-ext.2_1.ZLAB	104.86	162.22	7.45	207.6	131.02	158.44	2.96	209.95	156.69	15.22	115.64
CTCF_f2.HOCOMOCO	90.87	149.88	5.44	183.11	122.82	134.34	0.0	181.31	148.65	17.76	103.42
MA0139.1.JASPAR	92.94	149.3	5.78	185.75	120.01	136.04	0.0	180.54	141.38	17.67	102.94
CTCF_1.GUERTIN	90.34	150.62	8.14	187.67	124.42	130.18	0.88	173.02	140.18	20.9	102.64
CTCF.HOMER	85.63	146.98	3.0	184.92	115.69	129.07	0.04	190.26	142.18	14.78	101.25
CTCF.CHEN2008	93.61	144.63	3.93	182.64	118.19	130.1	-0.0	176.41	135.33	16.97	100.18
M4427_1.02.CIS-BP	87.56	149.11	1.0	176.23	112.67	129.21	-0.0	177.13	142.1	17.82	99.28
CTCF.SWISSREGULON	78.18	141.38	2.85	174.23	110.52	120.19	-0.0	180.56	139.05	12.25	95.92
CTCF-ext.2_4.ZLAB	76.11	140.74	1.1	147.85	96.08	119.41	1.44	147.94	150.93	8.55	89.02
CTCF_full.JOLMA	77.14	123.38	2.82	143.94	87.86	110.2	0.0	128.99	120.82	10.11	80.53
CTCF_disc1.POUR	55.33	115.83	1.84	139.13	93.58	97.63	0.0	140.34	100.8	13.33	75.78
CTCF_disc7.POUR	76.72	106.23	4.51	128.97	84.95	102.17	2.85	112.9	96.18	10.43	72.59
CTCF_disc5.POUR	44.76	114.47	6.34	65.57	70.39	65.36	0.0	73.18	73.78	4.38	51.82
CTCF_disc2.POUR	22.24	63.39	5.92	26.38	23.96	44.27	0.17	19.83	51.43	0.81	25.84
CTCF_disc8.POUR	33.9	17.16	1.76	45.88	38.76	47.54	0.06	41.56	27.99	0.01	25.46
CTCF_disc4.POUR	8.44	53.32	0.03	31.63	29.64	35.29	-0.0	39.46	32.12	-0.0	22.99
CTCF_disc9.POUR	16.94	65.79	0.57	28.33	21.49	22.22	0.0	22.97	34.89	0.0	21.32
CTCF-SatelliteElement.HOMER	21.4	6.25	-0.0	28.38	41.33	66.03	-0.0	30.65	14.57	-0.0	20.86
CTCF-ext.2_2.ZLAB	18.61	1.22	-0.0	22.16	42.17	38.93	-0.0	28.89	9.24	0.0	16.12
CTCF_disc6.POUR	6.5	10.82	0.08	28.26	25.43	24.1	0.03	13.92	8.66	0.0	11.78
CTCF.1_2.ZLAB	16.57	0.0	-0.0	10.0	22.24	37.0	-0.0	22.47	2.87	-0.0	11.12
CTCF_disc3.POUR	0.52	9.15	0.32	38.27	10.38	2.33	-0.0	29.32	9.38	-0.0	9.97
CTCF.1_5.ZLAB	6.34	28.35	0.0	13.21	3.52	14.12	-0.0	11.59	22.08	-0.0	9.92
CTCF_disc10.POUR	6.14	8.89	1.3	4.11	2.87	14.52	0.04	2.02	13.33	0.01	5.32
CTCF_2.GUERTIN	-0.0	1.51	-0.0	0.3	-0.0	-0.0	-0.0	1.77	-0.0	-0.0	0.36
Ctcf.TF2DNA	-0.0	-0.0	-0.0	0.0	0.33	0.16	-0.0	0.0	0.0	-0.0	0.05
CTCF_3.GUERTIN	-0.0	0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0	0	0.0
CTCF_4.GUERTIN	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0
CTCF.1_3.ZLAB	-0.0	-0.0	-0.0	0.0	-0.0	0.0	-0.0	-0.0	0.0	-0.0	0.0
CTCF.1_4.ZLAB	0	0	0	0	0	0	0	0	0	0	0.0
CTCF-ext.2_3.ZLAB	-0.0	-0.0	-0.0	-0.0	-0.0	0	0	-0.0	-0.0	0	0.0
CTCF-ext.2_5.ZLAB	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0
