Motif_name	Motif_IC	Average_IC	Motif_length	energy	gomer	sumlog	sumoc	ama
MA0139.1.JASPAR	16.851398	0.936189	18	1.965000	1.953000	1.399000	1.953000	1.953000
CTCF.CHEN2008	17.525596	0.973644	18	1.964000	1.937000	0.834000	1.937000	1.937000
CTCF_f2.HOCOMOCO	15.386000	0.854778	18	1.963000	1.958000	0.715000	1.958000	1.958000
CTCF.HOMER	18.850878	0.992151	19	1.957000	1.945000	0.715000	1.945000	1.945000
CTCF-SatelliteElement.HOMER	17.422267	0.916961	19	1.446000	1.399000	1.355000	1.383000	1.383000
CTCF_disc1.POUR	17.151684	0.816747	21	1.937000	1.923000	1.400000	1.923000	1.923000
CTCF_disc2.POUR	17.504210	1.750421	10	1.664000	1.411000	1.188000	1.384000	1.384000
CTCF_disc3.POUR	13.247292	1.655911	8	1.277000	1.192000	1.190000	1.191000	1.191000
CTCF_disc4.POUR	12.921314	0.993947	13	1.483000	1.439000	1.401000	1.437000	1.437000
CTCF_disc5.POUR	9.497248	0.730558	13	1.789000	1.729000	0.715000	1.729000	1.729000
CTCF_disc6.POUR	11.614121	1.659160	7	1.343000	1.311000	0.722000	1.301000	1.301000
CTCF_disc7.POUR	7.100380	0.788931	9	1.542000	1.517000	0.718000	1.517000	1.517000
CTCF_disc8.POUR	8.378724	0.644517	13	1.620000	1.549000	0.714000	1.549000	1.549000
CTCF_disc9.POUR	9.981621	0.665441	15	1.727000	1.656000	0.715000	1.655000	1.655000
CTCF_disc10.POUR	13.203164	1.650396	8	1.474000	1.343000	0.721000	1.342000	1.342000
CTCF_full.JOLMA	20.145263	1.259079	16	1.946000	1.882000	1.391000	1.881000	1.881000
CTCF_1.GUERTIN	13.712743	0.914183	15	1.952000	1.938000	0.795000	1.938000	1.938000
CTCF_2.GUERTIN	12.415838	1.128713	11	0.773000	0.806000	0.777000	0.811000	0.811000
CTCF_3.GUERTIN	26.430396	1.762026	15	0.870000	0.965000	1.395000	0.998000	0.998000
CTCF_4.GUERTIN	15.042013	0.791685	19	1.282000	1.043000	1.402000	1.042000	1.042000
CTCF.1_1.ZLAB	15.071188	1.076513	14	1.944000	1.944000	0.714000	1.944000	1.944000
CTCF.1_2.ZLAB	12.919524	1.291952	10	1.288000	1.307000	1.375000	1.307000	1.307000
CTCF.1_3.ZLAB	8.909995	1.272856	7	1.225000	1.082000	0.872000	1.080000	1.080000
CTCF.1_4.ZLAB	39.920800	1.535415	26	0.982000	1.005000	1.324000	0.993000	0.993000
CTCF.1_5.ZLAB	26.288489	1.314424	20	1.801000	1.192000	0.715000	1.137000	1.137000
CTCF-ext.2_1.ZLAB	13.653036	1.137753	12	1.909000	1.918000	1.342000	1.919000	1.919000
CTCF-ext.2_2.ZLAB	11.925914	0.851851	14	1.435000	1.431000	0.715000	1.431000	1.431000
CTCF-ext.2_3.ZLAB	29.625929	1.058069	28	0.972000	0.869000	0.719000	0.899000	0.899000
CTCF-ext.2_4.ZLAB	14.743963	1.053140	14	1.884000	1.806000	0.721000	1.805000	1.805000
CTCF-ext.2_5.ZLAB	13.490179	0.963584	14	0.947000	0.941000	0.767000	0.940000	0.940000
Ctcf.TF2DNA	9.353593	1.169199	8	0.925000	0.910000	0.716000	0.912000	0.912000
CTCF.SWISSREGULON	20.143813	1.060201	19	1.954000	1.915000	1.351000	1.914000	1.914000
M4427_1.02.CIS-BP	16.988525	0.849426	20	1.965000	1.948000	1.380000	1.948000	1.948000
