Motif	HaibK562Egr1V0416101-100	HaibH1hescEgr1V0416102-100	HaibGm12878Egr1Pcr2x-100	Average
EGR1_f2.HOCOMOCO	176.52	104.18	185.33	155.343333333
EGR1_DBD.JOLMA	173.93	89.72	191.27	151.64
EGR1.SWISSREGULON	172.65	90.96	178.49	147.366666667
UP00007_1.UNIPROBE	162.76	89.23	176.66	142.883333333
Egr1.HOMER	161.98	81.12	173.01	138.703333333
EGR1_1.GUERTIN	149.95	73.32	151.58	124.95
EGR1_disc1.POUR	120.39	79.62	171.28	123.763333333
EGR1_full.JOLMA	143.41	71.45	151.51	122.123333333
EGR1.1_1.ZLAB	141.4	68.38	143.72	117.833333333
MA0162.2.JASPAR	133.12	69.83	139.18	114.043333333
M4459_1.02.CIS-BP	141.36	62.64	136.59	113.53
UP00400.2.ZHAO2011	139.6	61.93	112.46	104.663333333
Egr1_mouse_DBD_mutant_DBD.JOLMA	108.57	52.49	107.73	89.5966666667
Egr1.TF2DNA	75.94	48.77	74.37	66.36
EGR1_1.3DFOOTPRINT	75.39	41.44	74.85	63.8933333333
EGR1_disc7.POUR	65.73	34.07	61.94	53.9133333333
EGR1_2.3DFOOTPRINT	41.03	41.24	56.34	46.2033333333
EGR1_3.3DFOOTPRINT	37.49	40.14	48.43	42.02
EGR1_disc5.POUR	22.32	29.97	24.44	25.5766666667
EGR1_disc6.POUR	25.5	15.6	24.49	21.8633333333
EGR1.1_3.ZLAB	2.01	0.0	0.0	0.67
UP00007.2.ZHAO2011	0.13	-0.0	0.0	0.0433333333333
UP00400.1.ZHAO2011	-0.0	0.11	0.0	0.0366666666667
EGR1_disc4.POUR	-0.0	0.0	0.02	0.00666666666667
EGR1_disc2.POUR	-0.0	-0.0	-0.0	0.0
EGR1_disc3.POUR	-0.0	-0.0	-0.0	0.0
UP00007_2.UNIPROBE	0.0	-0.0	-0.0	0.0
UP00007.1.ZHAO2011	0.0	-0.0	-0.0	0.0
EGR1_2.GUERTIN	-0.0	-0.0	-0.0	0.0
EGR1_3.GUERTIN	-0.0	-0.0	-0.0	0.0
EGR1_4.GUERTIN	-0.0	0	-0.0	0.0
EGR1.1_2.ZLAB	-0.0	-0.0	0.0	0.0
EGR1.1_4.ZLAB	-0.0	-0.0	-0.0	0.0
EGR1.1_5.ZLAB	-0.0	-0.0	-0.0	0.0
