Motif_name	Motif_IC	Average_IC	Motif_length	energy	gomer	sumlog	sumoc
MA0473.1.JASPAR	13.613622	1.134468	12	0.882000	0.909000	0.510000	0.911000
ELF1_f1.HOCOMOCO	10.800096	1.200011	9	0.919000	0.922000	0.271000	0.922000
ELF1.HOMER	10.960876	1.217875	9	0.929000	0.942000	0.269000	0.941000
ELF1_disc1.POUR	13.678178	1.519798	9	0.898000	0.912000	0.519000	0.912000
ELF1_disc2.POUR	7.756114	0.861790	9	0.854000	0.828000	0.275000	0.828000
ELF1_disc3.POUR	6.823400	0.568617	12	0.706000	0.727000	0.274000	0.727000
ELF1_DBD.JOLMA	15.854290	1.441299	11	0.908000	0.897000	0.724000	0.902000
ELF1_full.JOLMA	16.097807	1.463437	11	0.906000	0.809000	0.699000	0.814000
h-ELF1.WEIHUMAN	9.947519	1.105280	9	0.920000	0.926000	0.280000	0.926000
h-ELF1.WEIMOUSE	11.110486	1.234498	9	0.914000	0.918000	0.276000	0.918000
ELF1_1.GUERTIN	10.892529	0.990230	11	0.922000	0.928000	0.274000	0.928000
ELF1_2.GUERTIN	12.695897	1.586987	8	0.631000	0.603000	0.276000	0.596000
ELF1_3.GUERTIN	20.797701	1.386513	15	0.501000	0.520000	0.274000	0.522000
ELF1_4.GUERTIN	18.646223	1.331873	14	0.651000	0.559000	0.722000	0.538000
ELF1.1_1.ZLAB	13.159554	1.315955	10	0.931000	0.937000	0.281000	0.937000
ELF1.1_2.ZLAB	10.954258	1.095426	10	0.915000	0.922000	0.390000	0.922000
ELF1.1_3.ZLAB	24.439730	1.221987	20	0.574000	0.525000	0.273000	0.524000
ELF1.1_4.ZLAB	15.714579	1.571458	10	0.617000	0.573000	0.474000	0.568000
ELF1.1_5.ZLAB	12.648338	1.264834	10	0.571000	0.522000	0.703000	0.513000
Elf1.TF2DNA	9.224568	1.317795	7	0.827000	0.830000	0.730000	0.829000
ELF1.SWISSREGULON	10.831459	1.805243	6	0.810000	0.838000	0.737000	0.840000
M2275_1.02.CIS-BP	13.613622	1.134468	12	0.882000	0.909000	0.510000	0.911000
