Motif_name	Motif_IC	Average_IC	Motif_length	energy	gomer	sumlog	sumoc
MA0592.1.JASPAR	13.611902	1.361190	10	0.822000	0.835000	0.375000	0.837000
ERR1_f1.HOCOMOCO	10.089660	1.261207	8	0.831000	0.847000	0.390000	0.847000
Erra.HOMER	10.838450	1.204272	9	0.848000	0.855000	0.374000	0.856000
ESRRA_disc1.POUR	12.274573	0.876755	14	0.687000	0.685000	0.625000	0.644000
ESRRA_disc2.POUR	11.909616	0.992468	12	0.839000	0.853000	0.459000	0.853000
ESRRA_disc3.POUR	7.330332	0.814481	9	0.738000	0.734000	0.410000	0.734000
ESRRA_disc4.POUR	7.375097	0.567315	13	0.637000	0.641000	0.373000	0.640000
ESRRA_DBD_1.JOLMA	13.582472	1.358247	10	0.830000	0.821000	0.374000	0.825000
ESRRA_DBD_2.JOLMA	21.814163	1.363385	16	0.697000	0.579000	0.383000	0.550000
ESRRA_DBD_3.JOLMA	21.895133	1.216396	18	0.708000	0.536000	0.378000	0.526000
ESRRA_DBD_4.JOLMA	11.741767	1.174177	10	0.832000	0.832000	0.391000	0.834000
ESRRA_DBD_5.JOLMA	20.709509	1.294344	16	0.693000	0.574000	0.622000	0.565000
ESRRA_DBD_6.JOLMA	19.492825	1.082935	18	0.703000	0.535000	0.630000	0.532000
Esrra_DBD_1.JOLMA	24.564763	1.535298	16	0.692000	0.539000	0.387000	0.531000
Esrra_DBD_2.JOLMA	17.041804	1.704180	10	0.814000	0.770000	0.376000	0.776000
UP00079_1.UNIPROBE	13.113559	0.819597	16	0.806000	0.765000	0.624000	0.742000
UP00079_2.UNIPROBE	13.045204	0.815325	16	0.685000	0.611000	0.377000	0.588000
UP00079.1.ZHAO2011	16.403732	1.093582	15	0.680000	0.507000	0.628000	0.492000
UP00079.2.ZHAO2011	16.819768	1.121318	15	0.579000	0.520000	0.628000	0.507000
ERRA_1.GUERTIN	13.897442	1.263404	11	0.822000	0.780000	0.451000	0.778000
ERRA_2.GUERTIN	15.561243	1.037416	15	0.589000	0.583000	0.395000	0.569000
ERRA_3.GUERTIN	19.400329	1.021070	19	0.420000	0.491000	0.613000	0.494000
ERRA_4.GUERTIN	22.165707	1.166616	19	0.525000	0.504000	0.371000	0.503000
ESRRA.1_1.ZLAB	11.063599	1.106360	10	0.832000	0.865000	0.628000	0.864000
ESRRA.1_2.ZLAB	29.957259	1.069902	28	0.466000	0.499000	0.585000	0.499000
ESRRA.1_3.ZLAB	11.024292	1.102429	10	0.738000	0.733000	0.383000	0.729000
ESRRA.1_4.ZLAB	45.553531	1.626912	28	0.536000	0.500000	0.630000	0.500000
ESRRA.1_5.ZLAB	17.849752	1.487479	12	0.565000	0.574000	0.372000	0.571000
Esrra.TF2DNA	11.473034	1.639005	7	0.789000	0.735000	0.507000	0.736000
ESRRA.SWISSREGULON	15.436299	1.187408	13	0.817000	0.749000	0.627000	0.744000
M4438_1.02.CIS-BP	12.962783	0.925913	14	0.695000	0.665000	0.578000	0.628000
