Motif_name	Motif_IC	Average_IC	Motif_length	energy	gomer	sumlog	sumoc
MA0592.1.JASPAR	13.611902	1.361190	10	1.564000	1.712000	0.803000	1.713000
ERR1_f1.HOCOMOCO	10.089660	1.261207	8	1.598000	1.717000	0.826000	1.718000
Erra.HOMER	10.838450	1.204272	9	1.676000	1.712000	0.803000	1.713000
ESRRA_disc1.POUR	12.274573	0.876755	14	1.391000	1.343000	1.125000	1.337000
ESRRA_disc2.POUR	11.909616	0.992468	12	1.611000	1.735000	0.909000	1.733000
ESRRA_disc3.POUR	7.330332	0.814481	9	1.494000	1.436000	0.844000	1.436000
ESRRA_disc4.POUR	7.375097	0.567315	13	1.340000	1.187000	0.801000	1.187000
ESRRA_DBD_1.JOLMA	13.582472	1.358247	10	1.552000	1.712000	0.803000	1.716000
ESRRA_DBD_2.JOLMA	21.814163	1.363385	16	1.327000	1.369000	0.812000	1.325000
ESRRA_DBD_3.JOLMA	21.895133	1.216396	18	1.358000	1.352000	0.807000	1.306000
ESRRA_DBD_4.JOLMA	11.741767	1.174177	10	1.563000	1.723000	0.823000	1.725000
ESRRA_DBD_5.JOLMA	20.709509	1.294344	16	1.341000	1.326000	1.129000	1.271000
ESRRA_DBD_6.JOLMA	19.492825	1.082935	18	1.343000	1.359000	1.137000	1.315000
Esrra_DBD_1.JOLMA	24.564763	1.535298	16	1.339000	1.199000	0.814000	1.144000
Esrra_DBD_2.JOLMA	17.041804	1.704180	10	1.498000	1.640000	0.805000	1.643000
UP00079_1.UNIPROBE	13.113559	0.819597	16	1.478000	1.690000	1.128000	1.694000
UP00079_2.UNIPROBE	13.045204	0.815325	16	1.388000	1.394000	0.805000	1.393000
UP00079.1.ZHAO2011	16.403732	1.093582	15	1.295000	1.065000	1.139000	1.009000
UP00079.2.ZHAO2011	16.819768	1.121318	15	1.111000	1.101000	1.141000	1.056000
ERRA_1.GUERTIN	13.897442	1.263404	11	1.515000	1.658000	0.905000	1.657000
ERRA_2.GUERTIN	15.561243	1.037416	15	1.205000	1.263000	0.828000	1.261000
ERRA_3.GUERTIN	19.400329	1.021070	19	0.883000	0.905000	1.121000	0.909000
ERRA_4.GUERTIN	22.165707	1.166616	19	1.075000	1.060000	0.800000	1.067000
ESRRA.1_1.ZLAB	11.063599	1.106360	10	1.602000	1.747000	1.142000	1.747000
ESRRA.1_2.ZLAB	29.957259	1.069902	28	0.973000	1.020000	1.114000	1.023000
ESRRA.1_3.ZLAB	11.024292	1.102429	10	1.476000	1.493000	0.814000	1.490000
ESRRA.1_4.ZLAB	45.553531	1.626912	28	1.022000	0.964000	1.132000	0.974000
ESRRA.1_5.ZLAB	17.849752	1.487479	12	1.156000	1.195000	0.801000	1.203000
Esrra.TF2DNA	11.473034	1.639005	7	1.536000	1.538000	0.970000	1.540000
ESRRA.SWISSREGULON	15.436299	1.187408	13	1.535000	1.607000	1.137000	1.604000
M4438_1.02.CIS-BP	12.962783	0.925913	14	1.437000	1.297000	1.076000	1.279000
