Motif	HaibA549Ets1V0422111Etoh02-100	HaibGm12878Ets1Pcr1x-100	HaibK562Ets1V0416101-100	Average
ETS_disc3.POUR	-0.0	18.43	-0.0	6.14333333333
ETS_disc6.POUR	-0.0	4.06	-0.0	1.35333333333
ETS1_7.3DFOOTPRINT	0.87	0.0	0.0	0.29
ETS_disc5.POUR	-0.0	-0.0	0.16	0.0533333333333
m-ETS1.WEIMOUSE	0.06	-0.0	-0.0	0.02
M4461_1.02.CIS-BP	-0.0	0.05	0.0	0.0166666666667
ETS1_3.GUERTIN	0.02	-0.0	-0.0	0.00666666666667
ETS1_DBD_1.JOLMA	0.01	-0.0	-0.0	0.00333333333333
ETS1_si.HOCOMOCO	0.0	-0.0	-0.0	0.0
ETS1.HOMER	0.0	0.0	-0.0	0.0
Ets1-distal.HOMER	0.0	-0.0	0.0	0.0
ETS.HOMER	-0.0	-0.0	-0.0	0.0
ETS_disc1.POUR	0.0	-0.0	0.0	0.0
ETS_disc2.POUR	-0.0	-0.0	0.0	0.0
ETS_disc4.POUR	-0.0	-0.0	-0.0	0.0
ETS_disc7.POUR	-0.0	-0.0	-0.0	0.0
ETS_disc8.POUR	-0.0	0.0	-0.0	0.0
ETS_disc9.POUR	-0.0	-0.0	-0.0	0.0
ETS1_DBD_2.JOLMA	-0.0	-0.0	-0.0	0.0
ETS1_full_1.JOLMA	-0.0	-0.0	-0.0	0.0
ETS1_full_2.JOLMA	-0.0	-0.0	-0.0	0.0
h-ETS1.WEIHUMAN	0.0	-0.0	-0.0	0.0
h-ETS1.WEIMOUSE	0.0	-0.0	-0.0	0.0
UP00414.1.ZHAO2011	-0.0	0.0	-0.0	0.0
ETS-1.3DFOOTPRINT	-0.0	0.0	0.0	0.0
ETS1_1.3DFOOTPRINT	0	0	0	0.0
C-ets1_1.3DFOOTPRINT	-0.0	-0.0	-0.0	0.0
C-ets1_2.3DFOOTPRINT	-0.0	-0.0	-0.0	0.0
ETS1_8.3DFOOTPRINT	0.0	-0.0	-0.0	0.0
ETS1_2.3DFOOTPRINT	-0.0	-0.0	-0.0	0.0
ETS1_3.3DFOOTPRINT	-0.0	-0.0	0.0	0.0
ETS1_4.3DFOOTPRINT	-0.0	0.0	-0.0	0.0
ETS1_5.3DFOOTPRINT	-0.0	0.0	0.0	0.0
ETS1_6.3DFOOTPRINT	-0.0	-0.0	-0.0	0.0
ETS1_1.GUERTIN	-0.0	0.0	-0.0	0.0
ETS1_2.GUERTIN	0.0	-0.0	-0.0	0.0
ETS1_4.GUERTIN	-0.0	-0.0	-0.0	0.0
ETS1.2_1.ZLAB	-0.0	-0.0	-0.0	0.0
ETS1.2_2.ZLAB	-0.0	-0.0	-0.0	0.0
ETS1.2_3.ZLAB	0.0	0.0	-0.0	0.0
ETS1.2_4.ZLAB	-0.0	0.0	-0.0	0.0
ETS1.2_5.ZLAB	0.0	-0.0	-0.0	0.0
Ets1.TF2DNA	-0.0	0.0	-0.0	0.0
ETS1.SWISSREGULON	-0.0	-0.0	0.0	0.0
