Motif	SydhShsy5yGata3sc269sc269Ucd-100	HaibT47dGata3sc268V0416102Dm002p1h-100	SydhMcf7Gata3Ucd-100	SydhMcf7Gata3sc269Ucd-100	Average
GATA3_DBD.JOLMA	5.64	7.55	0.0	-0.0	3.2975
GATA3_full.JOLMA	5.37	3.76	0.0	-0.0	2.2825
GATA3_si.HOCOMOCO	3.13	4.84	0.02	0.0	1.9975
GATA3_5.HOMER	1.79	5.03	-0.0	-0.0	1.705
GATA3.SWISSREGULON	4.25	0.0	0.0	0.16	1.1025
GATA3.2_1.ZLAB	-0.0	4.02	-0.0	-0.0	1.005
GATA3_1.GUERTIN	0.0	2.94	-0.0	-0.0	0.735
M4665_1.02.CIS-BP	0.0	1.15	-0.0	-0.0	0.2875
GATA3_3.GUERTIN	0.0	-0.0	0.82	-0.0	0.205
GATA3_2.3DFOOTPRINT	0.18	-0.0	-0.0	0.51	0.1725
GATA3_4.HOMER	0.0	0.38	-0.0	-0.0	0.095
Gata3.TF2DNA	0.0	-0.0	-0.0	0.27	0.0675
UP00032.4.ZHAO2011	-0.0	0.17	0.01	-0.0	0.045
UP00032_1.UNIPROBE	0.17	-0.0	-0.0	-0.0	0.0425
GATA_disc4.POUR	0.1	0.01	-0.0	-0.0	0.0275
GATA3_1.HOMER	0.06	-0.0	0.0	0.0	0.015
GATA_disc5.POUR	-0.0	0.0	0.0	0.05	0.0125
MA0037.2.JASPAR	0.02	0.01	0.0	-0.0	0.0075
UP00032_2.UNIPROBE	-0.0	-0.0	0.01	-0.0	0.0025
GATA3_2.HOMER	-0.0	-0.0	-0.0	-0.0	0.0
GATA3_3.HOMER	-0.0	0.0	-0.0	-0.0	0.0
UP00032.1.ZHAO2011	-0.0	-0.0	0.0	0.0	0.0
UP00032.2.ZHAO2011	-0.0	-0.0	-0.0	0.0	0.0
UP00032.3.ZHAO2011	0.0	-0.0	-0.0	-0.0	0.0
GATA3_1.3DFOOTPRINT	-0.0	0.0	-0.0	-0.0	0.0
GATA3_3.3DFOOTPRINT	0	0	0	0	0.0
GATA3_2.GUERTIN	-0.0	-0.0	0.0	-0.0	0.0
GATA3_4.GUERTIN	0.0	-0.0	0.0	-0.0	0.0
GATA3.2_2.ZLAB	-0.0	-0.0	-0.0	0.0	0.0
GATA3.2_3.ZLAB	-0.0	-0.0	-0.0	-0.0	0.0
GATA3.2_4.ZLAB	-0.0	-0.0	-0.0	-0.0	0.0
GATA3.2_5.ZLAB	0	-0.0	-0.0	-0.0	0.0
