Motif_name	Motif_IC	Average_IC	Motif_length	energy	gomer	sumlog	sumoc
MA0114.2.JASPAR	13.594652	0.971047	14	1.859000	1.898000	1.108000	1.897000
HNF4A_f1.HOCOMOCO	11.038071	0.919839	12	1.851000	1.893000	0.852000	1.892000
HNF4a.HOMER	13.555937	0.903729	15	1.860000	1.894000	0.810000	1.893000
HNF4_disc1.POUR	11.983086	0.998591	12	1.816000	1.859000	0.831000	1.858000
HNF4_disc2.POUR	12.974968	1.621871	8	1.425000	1.259000	0.816000	1.259000
HNF4_disc3.POUR	13.386143	1.673268	8	1.475000	1.393000	0.944000	1.384000
HNF4_disc4.POUR	13.064848	1.633106	8	1.063000	1.147000	0.811000	1.149000
HNF4_disc5.POUR	13.476305	1.684538	8	1.278000	1.246000	1.120000	1.216000
HNF4A_DBD_1.JOLMA	20.108220	1.340548	15	1.784000	1.634000	0.810000	1.632000
HNF4A_DBD_2.JOLMA	19.586791	1.305786	15	1.766000	1.659000	1.112000	1.660000
HNF4A_full_1.JOLMA	20.991326	1.399422	15	1.793000	1.731000	0.820000	1.737000
HNF4A_full_2.JOLMA	21.289524	1.637656	13	1.743000	1.568000	1.109000	1.581000
HNF4A_full_3.JOLMA	20.773926	1.384928	15	1.780000	1.724000	0.922000	1.725000
HNF4A_full_4.JOLMA	20.469538	1.462110	14	1.741000	1.659000	1.116000	1.666000
Hnf4a_DBD.JOLMA	21.275946	1.418396	15	1.765000	1.669000	1.107000	1.670000
hnf4.MacIsaac	9.488705	1.355529	7	1.335000	1.352000	1.122000	1.354000
hnf4_1.MacIsaac	11.211566	0.862428	13	1.061000	1.074000	0.811000	1.069000
hnf4_2.MacIsaac	14.049867	1.003562	14	1.050000	1.025000	0.820000	1.024000
hnf4_3.MacIsaac	17.623317	1.258808	14	1.234000	1.162000	1.095000	1.162000
hnf4_4.MacIsaac	15.120919	1.374629	11	1.162000	1.103000	1.105000	1.096000
hnf4_5.MacIsaac	13.201769	1.320177	10	1.419000	1.438000	0.813000	1.443000
hnf4_6.MacIsaac	15.229971	1.015331	15	1.079000	1.037000	0.813000	1.026000
hnf4_7.MacIsaac	18.867573	1.451352	13	1.634000	1.517000	1.097000	1.526000
UP00066_1.UNIPROBE	12.442590	0.777662	16	1.328000	1.350000	1.108000	1.354000
UP00066_2.UNIPROBE	14.032859	0.935524	15	1.628000	1.696000	0.810000	1.700000
UP00066.1.ZHAO2011	19.990326	1.052122	19	0.894000	0.919000	0.812000	0.906000
UP00066.2.ZHAO2011	13.391269	0.743959	18	0.997000	0.929000	0.811000	0.923000
Hnf4a_1.3DFOOTPRINT	4.955005	1.238751	4	1.063000	1.110000	1.083000	1.114000
Hnf4a_2.3DFOOTPRINT	14.821897	1.347445	11	1.460000	1.442000	0.811000	1.443000
Hnf4a_3.3DFOOTPRINT	10.133151	1.013315	10	1.214000	1.121000	1.106000	1.120000
Hnf4a_4.3DFOOTPRINT	3.975915	0.993979	4	1.174000	1.218000	1.116000	1.220000
Hnf4a_5.3DFOOTPRINT	15.033036	1.366640	11	1.430000	1.234000	1.112000	1.223000
HNF4A_1.GUERTIN	12.178543	0.811903	15	1.863000	1.897000	0.812000	1.896000
HNF4A_2.GUERTIN	15.363877	1.024258	15	0.891000	0.864000	0.818000	0.869000
HNF4A_3.GUERTIN	23.163208	1.544214	15	1.239000	1.077000	1.116000	1.039000
HNF4A_4.GUERTIN	12.706169	0.668746	19	1.183000	1.078000	1.115000	1.079000
HNF4.1_1.ZLAB	12.463622	0.958740	13	1.825000	1.897000	1.117000	1.897000
HNF4.1_2.ZLAB	11.374301	1.624900	7	1.044000	1.189000	1.001000	1.192000
HNF4.1_3.ZLAB	11.036943	1.103694	10	1.573000	1.569000	0.847000	1.568000
HNF4.1_4.ZLAB	12.689349	1.268935	10	0.973000	1.088000	0.813000	1.094000
HNF4.1_5.ZLAB	13.083259	1.308326	10	1.106000	1.063000	1.104000	1.067000
Hnf4a.TF2DNA	8.738937	1.248420	7	1.375000	1.447000	0.817000	1.449000
HNF4A.SWISSREGULON	11.532266	0.887097	13	1.769000	1.787000	1.090000	1.787000
M4698_1.02.CIS-BP	13.573942	0.969567	14	1.861000	1.884000	1.115000	1.884000
