Motif_name	Motif_IC	Average_IC	Motif_length	energy	gomer	sumlog	sumoc	ama
MA0496.1.JASPAR	13.586347	0.970453	14	1.927000	1.907000	1.038000	1.908000	1.908000
MAFK_si.HOCOMOCO	15.601721	1.733525	9	1.680000	1.668000	0.955000	1.661000	1.661000
MafK.HOMER	11.032398	1.002945	11	1.763000	1.840000	1.039000	1.841000	1.841000
MAFK_DBD_1.JOLMA	11.449495	1.040863	11	1.908000	1.888000	1.040000	1.888000	1.888000
MAFK_DBD_2.JOLMA	12.622303	0.631115	20	1.874000	1.909000	1.040000	1.909000	1.909000
MAFK_full_1.JOLMA	11.088858	1.008078	11	1.907000	1.885000	1.043000	1.885000	1.885000
MAFK_full_2.JOLMA	13.511280	0.965091	14	1.839000	1.891000	1.028000	1.890000	1.890000
UP00044_1.UNIPROBE	12.475517	0.891108	14	1.870000	1.861000	1.040000	1.862000	1.862000
UP00044_2.UNIPROBE	10.458653	0.747047	14	1.063000	1.034000	1.042000	1.035000	1.035000
UP00044.1.ZHAO2011	20.130101	0.745559	27	1.051000	1.030000	0.989000	1.006000	1.006000
UP00044.2.ZHAO2011	17.338345	0.753841	23	1.032000	1.002000	1.033000	0.991000	0.991000
MAFK_1.GUERTIN	12.771685	0.672194	19	1.933000	1.942000	1.041000	1.942000	1.942000
MAFK_2.GUERTIN	15.168479	1.011232	15	1.076000	1.071000	0.892000	1.066000	1.066000
MAFK_3.GUERTIN	12.881564	0.858771	15	0.988000	0.982000	0.879000	0.978000	0.978000
MAFK_4.GUERTIN	18.495201	1.233013	15	0.960000	0.934000	1.041000	0.933000	0.933000
Mafk.TF2DNA	9.950419	1.421488	7	1.225000	1.225000	1.026000	1.227000	1.227000
M2296_1.02.CIS-BP	13.586347	0.970453	14	1.927000	1.907000	1.038000	1.908000	1.908000
