Motif	SydhK562MaxIggrab-100	SydhA549MaxIggrab-100	SydhGm12878MaxIggmus-100	SydhH1hescMaxUcd-100	SydhHepg2MaxIggrab-100	SydhNb4Max-100	SydhHuvecMax-100	SydhHelas3MaxIggrab-100	HaibK562MaxV0416102-100	Average
MAX_f1.HOCOMOCO	58.31	50.12	75.49	41.27	95.98	69.03	120.89	42.08	6.49	62.1844444444
MAX_DBD_2.JOLMA	60.28	38.9	69.18	43.57	99.79	67.15	120.13	50.61	8.31	61.9911111111
Max.HOMER	52.76	37.52	62.06	45.11	89.42	55.57	99.72	35.63	10.16	54.2166666667
Max_1.GUERTIN	48.32	33.42	68.39	31.43	90.78	63.51	103.24	39.24	1.45	53.3088888889
MAX.1_1.ZLAB	56.25	34.39	61.34	28.93	84.84	59.97	103.1	39.44	2.68	52.3266666667
MA0058.2.JASPAR	57.96	32.43	55.0	37.57	72.76	58.29	90.04	31.44	8.26	49.3055555556
M1889_1.02.CIS-BP	57.96	32.43	55.0	37.57	72.76	58.29	90.04	31.44	8.26	49.3055555556
UP00060_1.UNIPROBE	44.99	35.42	50.12	38.53	76.05	43.06	85.15	33.89	3.39	45.6222222222
Max_2.3DFOOTPRINT	51.1	28.97	49.89	21.91	63.52	51.95	76.11	30.12	6.84	42.2677777778
MAX.1_2.ZLAB	32.53	22.17	40.59	7.26	67.01	37.69	88.21	19.5	0.0	34.9955555556
UP00060_2.UNIPROBE	12.16	5.28	13.85	4.09	32.38	10.67	30.96	3.48	0.0	12.5411111111
Max_3.3DFOOTPRINT	8.99	7.89	6.73	2.33	10.57	10.67	14.84	0.28	0.0	6.92222222222
MAX_DBD_1.JOLMA	3.22	2.72	1.13	3.77	-0.0	0.0	9.68	0.01	0.08	2.29
Max.TF2DNA	0.39	-0.0	-0.0	1.53	0.0	2.1	0.15	0.18	-0.0	0.483333333333
Max_2.GUERTIN	-0.0	-0.0	-0.0	0.04	-0.0	3.1	-0.0	0.0	0.0	0.348888888889
MAX.1_3.ZLAB	-0.0	-0.0	0.15	-0.0	2.17	0.0	0.0	0.0	-0.0	0.257777777778
UP00060.3.ZHAO2011	-0.0	-0.0	-0.0	0.0	0.0	-0.0	0.27	-0.0	-0.0	0.03
UP00060.2.ZHAO2011	-0.0	-0.0	-0.0	0.0	-0.0	-0.0	0.19	0.0	-0.0	0.0211111111111
UP00060.1.ZHAO2011	-0.0	-0.0	-0.0	-0.0	-0.0	0.0	0.0	-0.0	-0.0	0.0
UP00060.4.ZHAO2011	0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0	-0.0	-0.0	0.0
Max_1.3DFOOTPRINT	0	0	0	0	0	0	0	0	0	0.0
Max_3.GUERTIN	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0
Max_4.GUERTIN	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0	-0.0	0.0
MAX.1_4.ZLAB	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0	-0.0	-0.0	0.0
MAX.1_5.ZLAB	-0.0	-0.0	-0.0	-0.0	0.0	-0.0	-0.0	-0.0	-0.0	0.0
