Motif_name	Motif_IC	Average_IC	Motif_length	energy	gomer	sumlog	sumoc	ama
MA0058.2.JASPAR	12.567761	1.396418	9	1.690000	1.710000	0.754000	1.711000	1.711000
MAX_f1.HOCOMOCO	11.611340	1.161134	10	1.820000	1.865000	0.752000	1.866000	1.866000
Max.HOMER	11.292923	1.026629	11	1.799000	1.839000	0.750000	1.842000	1.842000
MAX_DBD_1.JOLMA	18.770986	1.173187	16	1.665000	1.491000	0.743000	1.480000	1.480000
MAX_DBD_2.JOLMA	11.221762	1.246862	9	1.817000	1.873000	0.753000	1.875000	1.875000
UP00060_1.UNIPROBE	12.002915	0.800194	15	1.789000	1.837000	0.752000	1.839000	1.839000
UP00060_2.UNIPROBE	9.202370	0.707875	13	1.637000	1.704000	0.758000	1.704000	1.704000
UP00060.1.ZHAO2011	28.277967	0.975102	29	1.358000	1.169000	1.254000	1.082000	1.082000
UP00060.2.ZHAO2011	19.504618	1.083590	18	1.287000	1.190000	0.932000	1.143000	1.143000
UP00060.3.ZHAO2011	19.484570	1.082476	18	1.293000	1.204000	0.867000	1.156000	1.156000
UP00060.4.ZHAO2011	21.389545	1.188308	18	1.399000	1.190000	0.876000	1.132000	1.132000
Max_1.3DFOOTPRINT	3.343170	1.114390	3	1.010000	1.026000	0.787000	0.951000	0.951000
Max_2.3DFOOTPRINT	13.202047	1.886007	7	1.768000	1.782000	0.752000	1.777000	1.777000
Max_3.3DFOOTPRINT	6.748370	1.687093	4	1.042000	1.225000	1.001000	1.165000	1.165000
Max_1.GUERTIN	11.785069	1.071370	11	1.811000	1.865000	1.187000	1.865000	1.865000
Max_2.GUERTIN	14.489842	1.034989	14	1.107000	1.135000	1.192000	1.131000	1.131000
Max_3.GUERTIN	20.539586	1.081031	19	0.944000	0.989000	0.768000	0.987000	0.987000
Max_4.GUERTIN	16.633578	1.512143	11	1.298000	1.181000	1.286000	1.178000	1.178000
MAX.1_1.ZLAB	13.242696	1.018669	13	1.810000	1.846000	0.753000	1.847000	1.847000
MAX.1_2.ZLAB	13.712123	1.371212	10	1.736000	1.724000	0.748000	1.723000	1.723000
MAX.1_3.ZLAB	13.093420	1.870489	7	1.044000	1.138000	0.774000	1.135000	1.135000
MAX.1_4.ZLAB	17.884395	1.277457	14	1.340000	1.177000	0.836000	1.173000	1.173000
MAX.1_5.ZLAB	14.447444	0.722372	20	0.835000	0.884000	0.758000	0.887000	0.887000
Max.TF2DNA	8.465501	1.209357	7	1.156000	1.137000	0.821000	1.137000	1.137000
M1889_1.02.CIS-BP	12.567761	1.396418	9	1.690000	1.710000	0.754000	1.711000	1.711000
