Motif_name	Motif_IC	Average_IC	Motif_length	energy	gomer	sumlog	sumoc
MA0052.2.JASPAR	14.853724	1.060980	14	0.902000	0.896000	0.497000	0.894000
MEF2A_f1.HOCOMOCO	14.858516	1.142963	13	0.868000	0.814000	0.498000	0.814000
Mef2a.HOMER	9.863657	1.095962	9	0.839000	0.837000	0.497000	0.837000
MEF2_disc1.POUR	12.917400	0.922671	14	0.904000	0.894000	0.498000	0.893000
MEF2_disc2.POUR	13.501378	1.687672	8	0.549000	0.541000	0.493000	0.538000
MEF2A_DBD.JOLMA	16.859129	1.532648	11	0.851000	0.803000	0.497000	0.805000
MEF2A_1.3DFOOTPRINT	13.385995	0.892400	15	0.702000	0.579000	0.496000	0.580000
MEF2A.3DFOOTPRINT	4.642059	0.928412	5	0.590000	0.580000	0.499000	0.578000
MEF2A_3.3DFOOTPRINT	5.278835	0.586537	9	0.527000	0.585000	0.496000	0.584000
MEF2A_4.3DFOOTPRINT	5.278835	0.586537	9	0.580000	0.547000	0.500000	0.547000
MEF2A_5.3DFOOTPRINT	6.372364	0.708040	9	0.668000	0.677000	0.511000	0.677000
MEF2A_6.3DFOOTPRINT	3.963634	0.495454	8	0.569000	0.597000	0.508000	0.598000
MEF2A_7.3DFOOTPRINT	6.702648	0.744739	9	0.657000	0.648000	0.496000	0.648000
MEF2A_8.3DFOOTPRINT	5.918252	0.657584	9	0.663000	0.607000	0.500000	0.607000
MEF2A_1.GUERTIN	13.730919	0.915395	15	0.911000	0.904000	0.497000	0.903000
MEF2A_2.GUERTIN	14.264033	1.783004	8	0.612000	0.556000	0.500000	0.560000
MEF2A_3.GUERTIN	12.016837	0.632465	19	0.505000	0.491000	0.497000	0.494000
MEF2A_4.GUERTIN	22.650934	1.192154	19	0.513000	0.503000	0.496000	0.503000
MEF2.1_1.ZLAB	12.725681	0.908977	14	0.904000	0.906000	0.497000	0.905000
MEF2.1_2.ZLAB	12.540041	1.254004	10	0.534000	0.535000	0.497000	0.533000
MEF2.1_3.ZLAB	13.604462	1.943495	7	0.584000	0.553000	0.484000	0.558000
MEF2.1_4.ZLAB	13.280058	0.664003	20	0.511000	0.505000	0.501000	0.505000
MEF2.1_5.ZLAB	12.290001	1.755714	7	0.563000	0.537000	0.503000	0.544000
Mef2a.TF2DNA	8.494166	1.213452	7	0.589000	0.561000	0.496000	0.560000
MEF2A.SWISSREGULON	14.711915	1.634657	9	0.774000	0.774000	0.498000	0.775000
M1884_1.02.CIS-BP	14.853724	1.060980	14	0.902000	0.896000	0.497000	0.894000
