Motif	HaibGm12878Mef2aPcr1x-100	HaibK562Mef2aV0416101-100	Average
Mef2a.HOMER	22.34	77.99	50.165
MEF2.1_1.ZLAB	21.2	70.79	45.995
MEF2_disc1.POUR	20.76	69.61	45.185
MEF2A_1.GUERTIN	17.85	71.68	44.765
MA0052.2.JASPAR	16.89	70.83	43.86
M1884_1.02.CIS-BP	16.89	70.83	43.86
MEF2A.SWISSREGULON	7.39	58.44	32.915
MEF2A_DBD.JOLMA	2.35	61.58	31.965
MEF2A_f1.HOCOMOCO	2.06	53.53	27.795
MEF2A_5.3DFOOTPRINT	0.47	28.48	14.475
MEF2A_7.3DFOOTPRINT	0.5	26.47	13.485
MEF2A_6.3DFOOTPRINT	0.85	16.3	8.575
Mef2a.TF2DNA	0.02	15.54	7.78
MEF2A.3DFOOTPRINT	0.0	14.01	7.005
MEF2A_8.3DFOOTPRINT	0.0	10.78	5.39
MEF2A_3.3DFOOTPRINT	0.13	5.15	2.64
MEF2.1_3.ZLAB	-0.0	2.33	1.165
MEF2A_1.3DFOOTPRINT	0.0	1.31	0.655
MEF2A_3.GUERTIN	-0.0	0.12	0.06
MEF2_disc2.POUR	0.0	0.0	0.0
MEF2A_4.3DFOOTPRINT	-0.0	0.0	0.0
MEF2A_2.GUERTIN	-0.0	0.0	0.0
MEF2A_4.GUERTIN	-0.0	-0.0	0.0
MEF2.1_2.ZLAB	-0.0	-0.0	0.0
MEF2.1_4.ZLAB	-0.0	-0.0	0.0
MEF2.1_5.ZLAB	-0.0	0.0	0.0
