Motif_name	Motif_IC	Average_IC	Motif_length	energy	gomer	sumlog	sumoc
MA0506.1.JASPAR	13.247275	1.324728	10	0.985000	0.978000	0.704000	0.978000
NF2L1_f1.HOCOMOCO	6.967349	1.161225	6	0.404000	0.371000	0.364000	0.369000
NRF1_f1.HOCOMOCO	10.919922	0.992720	11	0.984000	0.985000	0.702000	0.985000
NRF1.HOMER	15.671289	1.424663	11	0.987000	0.987000	0.695000	0.987000
NRF1_disc1.POUR	17.340430	1.238602	14	0.989000	0.981000	0.702000	0.980000
NRF1_disc2.POUR	11.689568	1.669938	7	0.601000	0.519000	0.702000	0.525000
NRF1_disc3.POUR	6.867497	0.763055	9	0.701000	0.758000	0.666000	0.758000
NRF1_full.JOLMA	17.065223	1.551384	11	0.988000	0.982000	0.709000	0.981000
NRF1_1.GUERTIN	13.875071	1.261370	11	0.984000	0.985000	0.694000	0.985000
NRF1_2.GUERTIN	9.146182	0.481378	19	0.323000	0.488000	0.302000	0.490000
NRF1_3.GUERTIN	14.997369	1.363397	11	0.617000	0.596000	0.293000	0.594000
NRF1_4.GUERTIN	26.763724	1.408617	19	0.714000	0.500000	0.321000	0.500000
NRF1.1_1.ZLAB	18.247762	1.303412	14	0.989000	0.984000	0.705000	0.984000
NRF1.1_2.ZLAB	15.131954	1.080854	14	0.987000	0.985000	0.703000	0.984000
NRF1.1_3.ZLAB	23.157046	1.157852	20	0.452000	0.514000	0.687000	0.513000
NRF1.1_4.ZLAB	13.705148	0.685257	20	0.526000	0.504000	0.696000	0.504000
NRF1.1_5.ZLAB	16.888352	1.206311	14	0.624000	0.553000	0.708000	0.554000
Nfe2l1.TF2DNA	6.881100	0.983014	7	0.436000	0.404000	0.319000	0.404000
NFE2L1.SWISSREGULON	9.266435	1.853287	5	0.374000	0.381000	0.330000	0.372000
NRF1.SWISSREGULON	14.583844	1.620427	9	0.980000	0.976000	0.662000	0.976000
M2305_1.02.CIS-BP	13.774541	1.377454	10	0.979000	0.976000	0.690000	0.976000
M6359_1.02.CIS-BP	6.916674	1.152779	6	0.404000	0.368000	0.353000	0.366000
