Motif_name	Motif_IC	Average_IC	Motif_length	energy	gomer	sumlog	sumoc
MA0014.2.JASPAR	13.458053	0.747670	18	0.850000	0.655000	0.680000	0.636000
PAX5_f1.HOCOMOCO	10.661929	0.592329	18	0.851000	0.645000	0.680000	0.615000
PAX5_si.HOCOMOCO	9.364208	1.337744	7	0.581000	0.577000	0.677000	0.575000
PAX5_1.HOMER	12.623793	0.841586	15	0.811000	0.792000	0.682000	0.778000
PAX5_2.HOMER	13.317933	1.024456	13	0.637000	0.661000	0.675000	0.648000
PAX5_disc1.POUR	11.304981	0.628055	18	0.835000	0.645000	0.681000	0.603000
PAX5_disc2.POUR	10.805666	1.200630	9	0.712000	0.729000	0.681000	0.728000
PAX5_disc3.POUR	11.417550	1.268617	9	0.509000	0.492000	0.321000	0.491000
PAX5_disc4.POUR	11.800456	1.311162	9	0.539000	0.545000	0.671000	0.544000
PAX5_disc5.POUR	9.671598	1.074622	9	0.651000	0.659000	0.677000	0.659000
PAX5_DBD.JOLMA	14.115275	0.830310	17	0.842000	0.661000	0.670000	0.628000
Pax5_1.3DFOOTPRINT	11.308006	0.753867	15	0.524000	0.521000	0.681000	0.521000
Pax5_2.3DFOOTPRINT	12.972719	0.720707	18	0.519000	0.494000	0.680000	0.494000
PAX5_3.3DFOOTPRINT	15.280611	0.848923	18	0.531000	0.501000	0.683000	0.500000
PAX5_1.GUERTIN	26.502269	1.394856	19	0.681000	0.515000	0.679000	0.513000
PAX5_2.GUERTIN	18.584007	0.978106	19	0.565000	0.504000	0.659000	0.502000
PAX5_3.GUERTIN	17.992703	1.199514	15	0.596000	0.525000	0.659000	0.523000
PAX5_4.GUERTIN	23.377510	1.230395	19	0.398000	0.501000	0.356000	0.501000
PAX5.1_1.ZLAB	10.680445	0.712030	15	0.846000	0.843000	0.678000	0.817000
PAX5.1_2.ZLAB	14.874117	1.062437	14	0.525000	0.512000	0.553000	0.511000
PAX5.1_3.ZLAB	10.772889	0.538644	20	0.398000	0.502000	0.319000	0.502000
PAX5.1_4.ZLAB	23.919760	1.328876	18	0.486000	0.505000	0.665000	0.504000
PAX5.1_5.ZLAB	22.298200	0.796364	28	0.406000	0.500000	0.316000	0.500000
Pax5.TF2DNA	7.711651	0.963956	8	0.461000	0.447000	0.538000	0.448000
PAX5.SWISSREGULON	14.110860	0.742677	19	0.694000	0.538000	0.652000	0.536000
M4471_1.02.CIS-BP	11.380111	0.812865	14	0.830000	0.851000	0.682000	0.840000
