Motif_name	Motif_IC	Average_IC	Motif_length	energy	gomer	sumlog	sumoc
MA0507.1.JASPAR	15.046107	1.253842	12	1.467000	1.715000	0.875000	1.716000
PO2F2_si.HOCOMOCO	13.968438	1.746055	8	1.451000	1.666000	0.883000	1.671000
Oct4_1.HOMER	14.640873	1.626764	9	1.482000	1.704000	0.875000	1.708000
POU2F2_disc1.POUR	8.239147	1.177021	7	1.428000	1.662000	0.872000	1.664000
POU2F2_disc2.POUR	7.485009	0.623751	12	1.154000	1.003000	0.987000	1.003000
POU2F2_DBD_1.JOLMA	10.440903	1.044090	10	1.446000	1.695000	0.874000	1.696000
POU2F2_DBD_2.JOLMA	8.806740	0.677442	13	1.361000	1.469000	0.874000	1.469000
Pou2f2_DBD_1.JOLMA	15.903738	1.223364	13	1.332000	1.463000	0.874000	1.470000
Pou2f2_DBD_2.JOLMA	12.789546	1.598693	8	1.484000	1.668000	0.882000	1.671000
UP00191_1.UNIPROBE	14.252469	0.950165	15	1.447000	1.702000	0.874000	1.701000
UP00191.1.ZHAO2011	16.116708	1.074447	15	1.119000	0.968000	1.001000	0.979000
OCT2_1.GUERTIN	23.416594	1.232452	19	1.019000	0.995000	1.054000	1.016000
OCT2_2.GUERTIN	30.588115	1.609901	19	1.035000	0.958000	0.871000	0.955000
OCT2_3.GUERTIN	19.686930	1.312462	15	1.025000	0.963000	0.881000	0.971000
OCT2_4.GUERTIN	29.197792	1.536726	19	1.137000	1.020000	0.872000	0.990000
POU2F2.1_1.ZLAB	13.618449	1.134871	12	1.475000	1.752000	0.875000	1.752000
POU2F2.1_2.ZLAB	12.468210	1.246821	10	1.092000	1.009000	0.870000	1.010000
POU2F2.1_3.ZLAB	49.135607	1.694331	29	1.059000	1.102000	0.875000	1.038000
POU2F2.1_4.ZLAB	15.907746	1.223673	13	1.080000	1.123000	1.041000	1.116000
POU2F2.1_5.ZLAB	26.593414	1.329671	20	1.181000	1.049000	0.988000	1.052000
Pou2f2.TF2DNA	9.817302	1.227163	8	1.135000	1.002000	0.871000	1.003000
POU2F2.SWISSREGULON	17.521546	1.460129	12	1.451000	1.612000	0.876000	1.612000
M2306_1.02.CIS-BP	15.046107	1.253842	12	1.467000	1.715000	0.875000	1.716000
