Motif_name	Motif_IC	Average_IC	Motif_length	energy	gomer	sumlog	sumoc	ama
MA0508.1.JASPAR	15.090091	1.077864	14	1.887000	1.909000	0.983000	1.909000	1.909000
PRDM1_f1.HOCOMOCO	16.743546	1.287965	13	1.876000	1.881000	0.991000	1.884000	1.884000
PRDM1.HOMER	10.658050	0.968914	11	1.829000	1.836000	0.985000	1.835000	1.835000
PRDM1_disc1.POUR	16.162339	1.795815	9	1.883000	1.730000	0.985000	1.725000	1.725000
PRDM1_disc2.POUR	13.465282	1.496142	9	1.160000	1.332000	0.998000	1.325000	1.325000
PRDM1_full.JOLMA	18.343790	1.310271	14	1.869000	1.891000	0.989000	1.894000	1.894000
PRDM1_1.GUERTIN	13.773436	1.059495	13	1.901000	1.910000	1.001000	1.909000	1.909000
PRDM1_2.GUERTIN	13.503885	1.687986	8	1.120000	1.310000	0.974000	1.313000	1.313000
PRDM1_3.GUERTIN	12.024694	0.632879	19	1.111000	1.011000	0.891000	1.006000	1.006000
PRDM1_4.GUERTIN	20.256239	1.446874	14	1.110000	1.043000	0.986000	1.035000	1.035000
PRDM1.1_1.ZLAB	15.108326	1.079166	14	1.903000	1.929000	0.985000	1.929000	1.929000
PRDM1.1_2.ZLAB	11.951655	1.707379	7	1.111000	1.277000	0.964000	1.277000	1.277000
PRDM1.1_3.ZLAB	12.437253	0.888375	14	1.101000	1.044000	0.890000	1.045000	1.045000
PRDM1.1_4.ZLAB	46.821053	1.734113	27	1.034000	1.085000	0.977000	1.057000	1.057000
PRDM1.1_5.ZLAB	37.770137	1.398894	27	1.007000	0.995000	0.976000	0.987000	0.987000
Prdm1.TF2DNA	8.758482	1.094810	8	1.450000	1.198000	0.988000	1.200000	1.200000
PRDM1.SWISSREGULON	18.678344	1.698031	11	1.891000	1.882000	0.982000	1.886000	1.886000
M2307_1.02.CIS-BP	15.090091	1.077864	14	1.887000	1.909000	0.983000	1.909000	1.909000
