Motif	HaibHepg2Sp1Pcr1x-100	HaibK562Sp1Pcr1x-100	HaibGm12878Sp1Pcr1x-100	HaibH1hescSp1Pcr1x-100	Average
SP1_1.GUERTIN	-0.0	-0.0	-0.0	2.39	0.5975
SP1.2_3.ZLAB	0.0	-0.0	-0.0	0.49	0.1225
SP1_disc3.POUR	-0.0	-0.0	0.14	-0.0	0.035
SP1_4.GUERTIN	-0.0	-0.0	-0.0	0.06	0.015
MA0079.3.JASPAR	-0.0	-0.0	-0.0	-0.0	0.0
SP1_f1.HOCOMOCO	-0.0	0.0	-0.0	-0.0	0.0
SP1_f2.HOCOMOCO	-0.0	-0.0	-0.0	-0.0	0.0
Sp1.HOMER	-0.0	-0.0	-0.0	-0.0	0.0
SP1_disc1.POUR	-0.0	-0.0	-0.0	0.0	0.0
SP1_disc2.POUR	-0.0	-0.0	-0.0	0.0	0.0
SP1_DBD.JOLMA	-0.0	0.0	-0.0	-0.0	0.0
SP1_2.GUERTIN	-0.0	-0.0	-0.0	-0.0	0.0
SP1_3.GUERTIN	-0.0	0.0	-0.0	-0.0	0.0
SP1.2_1.ZLAB	-0.0	0.0	0.0	-0.0	0.0
SP1.2_2.ZLAB	-0.0	-0.0	-0.0	-0.0	0.0
SP1.2_4.ZLAB	-0.0	0.0	-0.0	-0.0	0.0
SP1.2_5.ZLAB	-0.0	-0.0	-0.0	-0.0	0.0
Sp1.TF2DNA	0.0	0.0	-0.0	0.0	0.0
SP1.SWISSREGULON	-0.0	-0.0	-0.0	-0.0	0.0
M1906_1.02.CIS-BP	-0.0	-0.0	-0.0	-0.0	0.0
