Motif	HaibK562SrfV0416101-100	HaibHepg2SrfV0416101-100	HaibGm12878SrfPcr2x-100	HaibH1hescSrfPcr1x-100	Average
SRF.SWISSREGULON	85.08	193.58	160.54	160.32	149.88
M4477_1.02.CIS-BP	81.58	186.1	174.91	148.71	147.825
MA0083.2.JASPAR	87.59	185.65	161.09	151.84	146.5425
SRF_1.GUERTIN	83.97	189.27	153.69	147.22	143.5375
SRF_do.HOCOMOCO	79.01	182.17	152.98	157.11	142.8175
UP00077_1.UNIPROBE	79.02	192.68	139.01	156.44	141.7875
SRF.1_1.ZLAB	81.95	193.61	137.68	150.72	140.99
SRF_DBD.JOLMA	86.49	184.71	120.61	159.64	137.8625
SRF_disc1.POUR	74.81	146.0	86.94	139.72	111.8675
SRF_full.JOLMA	74.8	142.72	80.81	123.69	105.505
SRF_6.3DFOOTPRINT	30.42	123.81	56.55	84.02	73.7
SRF_1.3DFOOTPRINT	10.67	44.26	42.4	42.58	34.9775
SRF_2.3DFOOTPRINT	-0.0	0.19	4.24	0.0	1.1075
SRF_3.GUERTIN	-0.0	0.33	3.68	0.0	1.0025
SRF_3.3DFOOTPRINT	0.0	2.15	1.34	0.0	0.8725
SRF_5.3DFOOTPRINT	-0.0	-0.0	1.92	0.0	0.48
SRF_4.GUERTIN	0.0	-0.0	0.16	-0.0	0.04
SRF_4.3DFOOTPRINT	-0.0	0.02	0.0	-0.0	0.005
SRF_disc2.POUR	-0.0	-0.0	-0.0	-0.0	0.0
UP00077_2.UNIPROBE	-0.0	-0.0	-0.0	-0.0	0.0
UP00077.1.ZHAO2011	-0.0	0	-0.0	0	0.0
UP00077.2.ZHAO2011	0	0	0	0	0.0
SRF_ETS-DOMAIN.3DFOOTPRINT	-0.0	-0.0	0.0	0.0	0.0
SRF_2.GUERTIN	0	0	0	0	0.0
SRF.1_2.ZLAB	0	0	0	0	0.0
SRF.1_3.ZLAB	0	0	0	0	0.0
SRF.1_4.ZLAB	0	0	0	0	0.0
SRF.1_5.ZLAB	-0.0	-0.0	-0.0	-0.0	0.0
Srf.TF2DNA	-0.0	-0.0	-0.0	-0.0	0.0
