Motif_name	Motif_IC	Average_IC	Motif_length	energy	gomer	sumlog	sumoc
MA0083.2.JASPAR	15.411693	0.906570	17	1.249000	1.618000	0.810000	1.621000
SRF_do.HOCOMOCO	13.744725	0.981766	14	1.279000	1.596000	0.800000	1.598000
SRF_disc1.POUR	14.329622	1.592180	9	1.148000	1.370000	0.798000	1.364000
SRF_disc2.POUR	7.091983	0.709198	10	1.324000	1.229000	1.175000	1.229000
SRF_DBD.JOLMA	16.891230	1.535566	11	1.283000	1.599000	0.827000	1.597000
SRF_full.JOLMA	20.224740	1.348316	15	1.291000	1.538000	1.161000	1.542000
UP00077_1.UNIPROBE	10.992314	0.845563	13	1.261000	1.580000	0.798000	1.583000
UP00077_2.UNIPROBE	6.435829	0.402239	16	0.877000	0.820000	0.795000	0.819000
UP00077.1.ZHAO2011	0.251941	0.027993	9	1.032000	0.808000	0.794000	0.808000
UP00077.2.ZHAO2011	0.235785	0.026198	9	0.975000	1.136000	1.194000	1.135000
SRF_ETS-DOMAIN.3DFOOTPRINT	7.550870	1.510174	5	0.989000	0.943000	1.145000	0.949000
SRF_3.3DFOOTPRINT	21.203897	1.413593	15	1.059000	1.076000	0.870000	1.070000
SRF_4.3DFOOTPRINT	8.552346	1.069043	8	0.917000	0.971000	1.137000	0.972000
SRF_5.3DFOOTPRINT	21.399160	1.426611	15	1.048000	1.033000	1.105000	1.011000
SRF_6.3DFOOTPRINT	6.026429	1.205286	5	1.076000	1.085000	1.174000	1.084000
SRF_1.3DFOOTPRINT	12.421841	1.380205	9	1.037000	1.065000	0.829000	1.069000
SRF_2.3DFOOTPRINT	6.490037	1.298007	5	1.044000	1.078000	0.795000	1.088000
SRF_1.GUERTIN	15.186613	1.012441	15	1.266000	1.624000	1.196000	1.626000
SRF_2.GUERTIN	29.389494	1.546815	19	0.915000	0.917000	0.813000	0.903000
SRF_3.GUERTIN	10.192109	1.698685	6	1.105000	1.171000	1.129000	1.178000
SRF_4.GUERTIN	26.576290	1.398752	19	1.043000	1.051000	0.799000	1.045000
SRF.1_1.ZLAB	17.106513	1.315886	13	1.235000	1.584000	0.809000	1.589000
SRF.1_2.ZLAB	35.224573	1.214640	29	0.916000	1.016000	0.833000	1.029000
SRF.1_3.ZLAB	36.250770	1.812538	20	0.915000	0.970000	0.789000	0.998000
SRF.1_4.ZLAB	45.718197	1.632793	28	0.913000	0.999000	0.814000	1.017000
SRF.1_5.ZLAB	24.372947	1.354053	18	1.010000	1.001000	0.792000	0.993000
Srf.TF2DNA	8.493690	1.213384	7	0.974000	0.902000	0.798000	0.901000
SRF.SWISSREGULON	14.703209	1.336655	11	1.267000	1.592000	0.805000	1.589000
M4477_1.02.CIS-BP	14.599185	0.811066	18	1.290000	1.628000	0.802000	1.631000
