Motif_name	Motif_IC	Average_IC	Motif_length	energy	gomer	sumlog	sumoc	ama
E2A_1.HOMER	11.385580	1.265064	9	1.654000	1.744000	0.772000	1.744000	1.744000
E2A_2.HOMER	11.919741	1.324416	9	1.583000	1.554000	0.769000	1.556000	1.556000
E-box.HOMER	14.636387	1.330581	11	1.326000	1.229000	0.771000	1.228000	1.228000
TCF3_DBD.JOLMA	11.388434	1.265382	9	1.637000	1.666000	0.772000	1.664000	1.664000
UP00058_1.UNIPROBE	11.971684	0.748230	16	0.828000	0.830000	1.262000	0.830000	0.830000
UP00046_1.UNIPROBE	11.912928	0.744558	16	1.593000	1.661000	0.772000	1.662000	1.662000
UP00058_2.UNIPROBE	2.646869	0.189062	14	0.855000	0.796000	1.253000	0.796000	0.796000
UP00046_2.UNIPROBE	11.613522	0.725845	16	1.455000	1.522000	0.780000	1.523000	1.523000
UP00058.1.ZHAO2011	1.778534	0.197615	9	0.856000	0.770000	1.256000	0.770000	0.770000
UP00058.2.ZHAO2011	1.493659	0.165962	9	0.862000	0.771000	1.258000	0.771000	0.771000
UP00046.1.ZHAO2011	10.131050	1.125672	9	1.622000	1.665000	0.770000	1.664000	1.664000
UP00046.2.ZHAO2011	10.084773	1.120530	9	1.625000	1.666000	0.771000	1.666000	1.666000
TCF3_1.GUERTIN	17.605268	0.926593	19	1.104000	1.073000	0.783000	1.055000	1.055000
TCF3_2.GUERTIN	11.397238	1.424655	8	1.617000	1.685000	0.810000	1.686000	1.686000
TCF3_3.GUERTIN	30.626174	1.611904	19	0.836000	0.925000	0.810000	0.932000	0.932000
TCF3_4.GUERTIN	15.494646	0.815508	19	0.874000	0.864000	1.262000	0.868000	0.868000
Tcf3.TF2DNA	9.158512	1.308359	7	0.923000	0.978000	0.798000	0.978000	0.978000
TCF3.SWISSREGULON	12.832396	0.987107	13	1.322000	1.416000	1.245000	1.416000	1.416000
M6516_1.02.CIS-BP	10.944965	1.094496	10	1.501000	1.638000	0.770000	1.638000	1.638000
