Motif	HaibGm12891Yy1sc281V0416101-100	SydhGm12878Yy1-100	HaibSknshraYy1sc281V0416102-100	HaibK562Yy1V0416102-100	HaibK562Yy1V0416101-100	SydhNt2d1Yy1Ucd-100	HaibHepg2Yy1sc281V0416101-100	HaibGm12878Yy1sc281Pcr1x-100	HaibHct116Yy1sc281V0416101-100	HaibA549Yy1cV0422111Etoh02-100	Average
YY1.1_1.ZLAB	71.23	5.59	88.0	23.45	39.07	89.6	13.44	0.67	86.56	0.0	41.761
YY1_full.JOLMA	67.38	2.9	99.25	27.88	32.29	77.1	10.96	4.6	85.53	0.01	40.79
YY1_1.GUERTIN	64.88	7.84	84.13	22.73	34.56	85.23	10.39	1.23	84.51	0.0	39.55
TYY1_f2.HOCOMOCO	66.36	6.78	83.51	24.89	31.58	83.9	9.6	1.16	77.07	0.0	38.485
YY1.HOMER	59.25	6.27	75.4	21.57	34.03	82.48	10.24	0.39	84.57	0.07	37.427
MA0095.2.JASPAR	55.3	10.17	72.98	25.58	31.74	71.86	9.1	1.01	80.01	0.0	35.775
M1919_1.02.CIS-BP	55.3	10.17	72.98	25.58	31.74	71.86	9.1	1.01	80.01	0.0	35.775
YY1.SWISSREGULON	56.68	5.38	63.25	22.8	38.58	61.14	11.38	6.02	63.77	0.0	32.9
YY1_disc2.POUR	44.69	0.54	62.43	14.41	24.07	61.8	7.29	0.47	58.71	0.39	27.48
YY1.3DFOOTPRINT	28.05	0.0	37.02	7.54	12.14	39.22	0.0	0.0	40.62	-0.0	16.459
YY1_disc1.POUR	21.83	2.18	33.21	7.2	1.95	26.61	-0.0	-0.0	30.34	-0.0	12.332
YY1.1_2.ZLAB	16.72	0.75	36.09	4.89	6.02	26.49	0.0	0.0	29.75	-0.0	12.071
YY1_disc3.POUR	6.63	-0.0	12.43	-0.0	0.0	7.74	-0.0	0.0	7.74	0.0	3.454
YY1_disc4.POUR	0.0	-0.0	2.76	0.0	0.0	3.56	-0.0	0.0	2.36	-0.0	0.868
YY1_4.GUERTIN	-0.0	-0.0	-0.0	2.33	-0.0	0.0	-0.0	-0.0	-0.0	-0.0	0.233
YY1_disc5.POUR	0.0	-0.0	1.48	0.01	0.15	-0.0	-0.0	-0.0	-0.0	-0.0	0.164
YY1.1_4.ZLAB	0.04	-0.0	-0.0	-0.0	0.0	-0.0	-0.0	1.16	-0.0	-0.0	0.12
YY1_2.GUERTIN	0.0	-0.0	-0.0	-0.0	-0.0	0.0	-0.0	-0.0	0.7	0.0	0.07
YY1.1_3.ZLAB	-0.0	0.0	0.0	-0.0	-0.0	0.0	-0.0	-0.0	-0.0	0.18	0.018
Yy1.TF2DNA	-0.0	-0.0	-0.0	-0.0	-0.0	0.0	0.04	-0.0	-0.0	-0.0	0.004
YY1_3.GUERTIN	0.0	-0.0	0.02	-0.0	-0.0	-0.0	0.01	0.0	-0.0	-0.0	0.003
YY1.1_5.ZLAB	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0	-0.0	-0.0	-0.0	0.0
