Motif_name	Motif_IC	Average_IC	Motif_length	energy	gomer	sumlog	sumoc	ama
MA0095.2.JASPAR	13.867010	1.260637	11	1.686000	1.818000	1.166000	1.819000	1.819000
TYY1_f2.HOCOMOCO	12.865238	1.169567	11	1.692000	1.830000	1.149000	1.832000	1.832000
YY1.HOMER	18.096587	1.645144	11	1.696000	1.795000	0.798000	1.801000	1.801000
YY1_disc1.POUR	16.377523	0.744433	22	1.690000	1.811000	1.115000	1.812000	1.812000
YY1_disc2.POUR	16.100825	1.788981	9	1.587000	1.255000	0.983000	1.248000	1.248000
YY1_disc3.POUR	7.226163	0.802907	9	1.416000	1.298000	0.769000	1.298000	1.298000
YY1_disc4.POUR	7.516594	0.536900	14	1.446000	1.221000	0.777000	1.221000	1.221000
YY1_disc5.POUR	6.932177	0.630198	11	1.375000	1.217000	0.777000	1.217000	1.217000
YY1_full.JOLMA	9.108403	0.910840	10	1.679000	1.793000	1.146000	1.794000	1.794000
YY1.3DFOOTPRINT	16.792697	1.526609	11	1.487000	1.154000	0.920000	1.181000	1.181000
YY1_1.GUERTIN	14.115611	1.283237	11	1.703000	1.834000	1.144000	1.835000	1.835000
YY1_2.GUERTIN	17.514538	1.167636	15	1.271000	1.166000	1.149000	1.156000	1.156000
YY1_3.GUERTIN	12.385705	0.651879	19	0.926000	0.822000	1.158000	0.821000	0.821000
YY1_4.GUERTIN	10.218179	1.277272	8	0.945000	0.913000	0.779000	0.913000	0.913000
YY1.1_1.ZLAB	15.674001	1.119572	14	1.731000	1.848000	0.781000	1.847000	1.847000
YY1.1_2.ZLAB	15.630720	0.868373	18	1.610000	1.717000	1.112000	1.719000	1.719000
YY1.1_3.ZLAB	11.240627	1.605804	7	1.160000	1.254000	0.793000	1.251000	1.250000
YY1.1_4.ZLAB	14.607807	1.623090	9	1.117000	1.121000	0.793000	1.116000	1.116000
YY1.1_5.ZLAB	21.580679	1.079034	20	0.962000	1.057000	1.091000	1.055000	1.055000
Yy1.TF2DNA	8.842774	1.105347	8	1.132000	1.045000	1.134000	1.045000	1.045000
YY1.SWISSREGULON	8.657292	1.731458	5	1.424000	1.374000	0.879000	1.356000	1.356000
M1919_1.02.CIS-BP	13.867010	1.260637	11	1.686000	1.818000	1.166000	1.819000	1.819000
