Motif_name	Motif_IC	Average_IC	Motif_length	energy	gomer	sumlog	sumoc
MA0139.1.JASPAR	16.851398	0.936189	18	1.926000	1.951000	0.991000	1.952000
CTCF.CHEN2008	17.525596	0.973644	18	1.923000	1.930000	1.014000	1.931000
CTCF_f2.HOCOMOCO	15.386000	0.854778	18	1.925000	1.951000	1.016000	1.952000
CTCF.HOMER	18.850878	0.992151	19	1.919000	1.945000	1.019000	1.946000
CTCF-SatelliteElement.HOMER	17.422267	0.916961	19	1.276000	1.333000	0.989000	1.325000
CTCF_disc1.POUR	17.151684	0.816747	21	1.906000	1.924000	0.990000	1.924000
CTCF_disc2.POUR	17.504210	1.750421	10	1.410000	1.336000	0.998000	1.336000
CTCF_disc3.POUR	13.247292	1.655911	8	1.204000	1.167000	0.999000	1.166000
CTCF_disc4.POUR	12.921314	0.993947	13	1.310000	1.368000	0.994000	1.366000
CTCF_disc5.POUR	9.497248	0.730558	13	1.599000	1.588000	1.014000	1.589000
CTCF_disc6.POUR	11.614121	1.659160	7	1.140000	1.151000	1.007000	1.150000
CTCF_disc7.POUR	7.100380	0.788931	9	1.219000	1.279000	1.008000	1.279000
CTCF_disc8.POUR	8.378724	0.644517	13	1.403000	1.416000	1.013000	1.417000
CTCF_disc9.POUR	9.981621	0.665441	15	1.450000	1.503000	1.015000	1.503000
CTCF_disc10.POUR	13.203164	1.650396	8	1.156000	1.174000	1.010000	1.174000
CTCF_full.JOLMA	20.145263	1.259079	16	1.871000	1.860000	0.993000	1.865000
CTCF_1.GUERTIN	13.712743	0.914183	15	1.897000	1.919000	1.024000	1.919000
CTCF_2.GUERTIN	12.415838	1.128713	11	1.073000	1.142000	1.011000	1.135000
CTCF_3.GUERTIN	26.430396	1.762026	15	1.086000	1.042000	0.992000	1.042000
CTCF_4.GUERTIN	15.042013	0.791685	19	1.104000	1.096000	0.988000	1.099000
CTCF.1_1.ZLAB	15.071188	1.076513	14	1.877000	1.915000	1.016000	1.915000
CTCF.1_2.ZLAB	12.919524	1.291952	10	1.145000	1.235000	0.999000	1.237000
CTCF.1_3.ZLAB	8.909995	1.272856	7	1.006000	1.022000	1.018000	1.023000
CTCF.1_4.ZLAB	39.920800	1.535415	26	1.028000	1.025000	0.985000	1.022000
CTCF.1_5.ZLAB	26.288489	1.314424	20	1.603000	1.091000	1.018000	1.062000
CTCF-ext.2_1.ZLAB	13.653036	1.137753	12	1.817000	1.874000	1.014000	1.875000
CTCF-ext.2_2.ZLAB	11.925914	0.851851	14	1.198000	1.282000	1.018000	1.284000
CTCF-ext.2_3.ZLAB	29.625929	1.058069	28	1.078000	1.033000	1.033000	1.045000
CTCF-ext.2_4.ZLAB	14.743963	1.053140	14	1.783000	1.769000	1.024000	1.770000
CTCF-ext.2_5.ZLAB	13.490179	0.963584	14	1.099000	1.094000	1.028000	1.090000
Ctcf.TF2DNA	9.353593	1.169199	8	0.905000	0.931000	1.006000	0.933000
CTCF.SWISSREGULON	20.143813	1.060201	19	1.909000	1.908000	1.008000	1.911000
M4427_1.02.CIS-BP	16.988525	0.849426	20	1.925000	1.945000	0.997000	1.946000
