Motif_name	Motif_IC	Average_IC	Motif_length	energy	gomer	sumlog	sumoc
MA0079.3.JASPAR	13.096323	1.309632	10	0.546000	0.555000	0.465000	0.553000
SP1_f1.HOCOMOCO	11.772443	1.177244	10	0.549000	0.550000	0.515000	0.549000
SP1_f2.HOCOMOCO	13.383811	0.743545	18	0.552000	0.521000	0.516000	0.519000
Sp1.HOMER	16.500711	1.500065	11	0.569000	0.595000	0.516000	0.595000
SP1_disc1.POUR	13.856668	0.659841	21	0.823000	0.534000	0.537000	0.518000
SP1_disc2.POUR	11.029667	1.575667	7	0.516000	0.540000	0.519000	0.539000
SP1_disc3.POUR	13.866040	0.990431	14	0.543000	0.496000	0.483000	0.501000
SP1_DBD.JOLMA	10.780787	1.078079	10	0.553000	0.551000	0.503000	0.551000
SP1_1.GUERTIN	12.056226	1.096021	11	0.807000	0.818000	0.490000	0.819000
SP1_2.GUERTIN	12.657366	1.150670	11	0.570000	0.569000	0.447000	0.569000
SP1_3.GUERTIN	18.449794	1.677254	11	0.497000	0.505000	0.483000	0.493000
SP1_4.GUERTIN	17.058068	1.550733	11	0.547000	0.487000	0.496000	0.480000
SP1.2_1.ZLAB	12.640193	1.053349	12	0.821000	0.814000	0.482000	0.815000
SP1.2_2.ZLAB	13.443877	0.960277	14	0.584000	0.599000	0.475000	0.596000
SP1.2_3.ZLAB	10.877278	1.553897	7	0.807000	0.789000	0.557000	0.792000
SP1.2_4.ZLAB	20.434052	0.756817	27	0.543000	0.502000	0.519000	0.501000
SP1.2_5.ZLAB	18.787443	0.695831	27	0.737000	0.500000	0.515000	0.500000
Sp1.TF2DNA	7.464976	1.244163	6	0.568000	0.533000	0.529000	0.530000
SP1.SWISSREGULON	13.774373	1.059567	13	0.562000	0.570000	0.514000	0.567000
M1906_1.02.CIS-BP	12.876953	1.287695	10	0.545000	0.542000	0.497000	0.539000
