Motif_name	Motif_IC	Average_IC	Motif_length	energy	gomer	sumlog	sumoc	ama
MA0162.2.JASPAR	13.670813	1.051601	13	1.785000	1.809000	1.375000	1.808000	1.808000
EGR1_f2.HOCOMOCO	12.973534	1.297353	10	1.841000	1.888000	0.714000	1.889000	1.889000
Egr1.HOMER	12.522418	1.391380	9	1.780000	1.820000	0.712000	1.820000	1.820000
EGR1_disc1.POUR	16.253257	1.805917	9	1.774000	1.752000	1.001000	1.741000	1.741000
EGR1_disc2.POUR	12.404471	1.378275	9	1.113000	1.179000	0.713000	1.177000	1.177000
EGR1_disc3.POUR	13.539944	1.504438	9	1.535000	1.422000	0.722000	1.417000	1.417000
EGR1_disc4.POUR	29.247285	1.218637	24	1.027000	1.094000	1.298000	1.082000	1.082000
EGR1_disc5.POUR	10.375668	1.482238	7	1.570000	1.526000	0.714000	1.528000	1.528000
EGR1_disc6.POUR	7.414593	0.741459	10	1.559000	1.529000	0.715000	1.530000	1.530000
EGR1_disc7.POUR	13.396007	1.488445	9	1.664000	1.491000	0.778000	1.480000	1.480000
EGR1_DBD.JOLMA	15.876846	1.221296	13	1.850000	1.897000	1.415000	1.898000	1.898000
EGR1_full.JOLMA	19.489658	1.499204	13	1.823000	1.804000	0.713000	1.804000	1.804000
Egr1_mouse_DBD_mutant_DBD.JOLMA	18.165413	1.211028	15	1.759000	1.773000	0.713000	1.775000	1.775000
UP00007_1.UNIPROBE	14.027674	1.079052	13	1.817000	1.868000	0.712000	1.869000	1.869000
UP00007_2.UNIPROBE	9.457575	0.630505	15	1.324000	1.083000	0.729000	1.085000	1.085000
UP00007.1.ZHAO2011	14.475177	0.851481	17	1.449000	1.170000	1.307000	1.161000	1.161000
UP00007.2.ZHAO2011	15.349149	0.902891	17	1.489000	1.179000	1.303000	1.169000	1.169000
UP00400.1.ZHAO2011	3.826546	0.425172	9	0.977000	0.883000	1.412000	0.884000	0.884000
UP00400.2.ZHAO2011	6.027948	0.669772	9	1.801000	1.798000	0.715000	1.797000	1.797000
EGR1_1.3DFOOTPRINT	16.250000	1.805556	9	1.720000	1.493000	0.713000	1.474000	1.474000
EGR1_2.3DFOOTPRINT	15.202047	1.900256	8	1.628000	1.477000	0.727000	1.443000	1.443000
EGR1_3.3DFOOTPRINT	13.336498	1.667062	8	1.566000	1.402000	0.721000	1.391000	1.391000
EGR1_1.GUERTIN	12.792505	0.852834	15	1.816000	1.833000	1.402000	1.833000	1.833000
EGR1_2.GUERTIN	23.250564	1.223714	19	0.880000	1.036000	1.078000	1.028000	1.028000
EGR1_3.GUERTIN	10.329926	0.688662	15	0.774000	0.766000	1.414000	0.766000	0.766000
EGR1_4.GUERTIN	27.261338	1.434807	19	1.351000	1.116000	1.257000	1.076000	1.076000
EGR1.1_1.ZLAB	16.959548	0.807598	21	1.813000	1.866000	0.713000	1.865000	1.865000
EGR1.1_2.ZLAB	11.973215	0.855230	14	1.012000	0.935000	1.306000	0.937000	0.937000
EGR1.1_3.ZLAB	21.440999	1.128474	19	1.297000	1.136000	0.717000	1.112000	1.112000
EGR1.1_4.ZLAB	16.412984	1.172356	14	0.928000	1.069000	0.975000	1.079000	1.079000
EGR1.1_5.ZLAB	17.419998	1.244286	14	1.561000	1.393000	0.714000	1.379000	1.379000
Egr1.TF2DNA	10.231428	1.461633	7	1.574000	1.570000	0.714000	1.572000	1.572000
EGR1.SWISSREGULON	17.044926	1.549539	11	1.846000	1.868000	1.411000	1.865000	1.865000
M4459_1.02.CIS-BP	16.534271	0.870225	19	1.815000	1.869000	0.713000	1.869000	1.869000
