Motif_name	Motif_IC	Average_IC	Motif_length	energy	gomer	sumlog	sumoc
MA0508.1.JASPAR	15.090091	1.077864	14	1.879000	1.929000	1.007000	1.931000
PRDM1_f1.HOCOMOCO	16.743546	1.287965	13	1.875000	1.901000	1.007000	1.905000
PRDM1.HOMER	10.658050	0.968914	11	1.828000	1.871000	1.004000	1.872000
PRDM1_disc1.POUR	16.162339	1.795815	9	1.854000	1.738000	0.999000	1.729000
PRDM1_disc2.POUR	13.465282	1.496142	9	1.099000	1.303000	1.004000	1.316000
PRDM1_full.JOLMA	18.343790	1.310271	14	1.856000	1.900000	1.005000	1.907000
PRDM1_1.GUERTIN	13.773436	1.059495	13	1.895000	1.938000	0.969000	1.937000
PRDM1_2.GUERTIN	13.503885	1.687986	8	1.054000	1.279000	1.002000	1.286000
PRDM1_3.GUERTIN	12.024694	0.632879	19	1.109000	1.145000	0.993000	1.146000
PRDM1_4.GUERTIN	20.256239	1.446874	14	1.112000	1.028000	0.997000	1.004000
PRDM1.1_1.ZLAB	15.108326	1.079166	14	1.896000	1.944000	1.005000	1.944000
PRDM1.1_2.ZLAB	11.951655	1.707379	7	1.077000	1.284000	0.996000	1.282000
PRDM1.1_3.ZLAB	12.437253	0.888375	14	1.137000	1.212000	1.004000	1.216000
PRDM1.1_4.ZLAB	46.821053	1.734113	27	0.991000	1.012000	1.002000	1.004000
PRDM1.1_5.ZLAB	37.770137	1.398894	27	0.965000	0.983000	1.008000	1.001000
Prdm1.TF2DNA	8.758482	1.094810	8	1.435000	1.306000	1.004000	1.308000
PRDM1.SWISSREGULON	18.678344	1.698031	11	1.880000	1.884000	1.013000	1.891000
M2307_1.02.CIS-BP	15.090091	1.077864	14	1.879000	1.929000	1.007000	1.931000
