Motif_name	Motif_IC	Average_IC	Motif_length	energy	gomer	sumlog	sumoc
MA0473.1.JASPAR	13.613622	1.134468	12	1.701000	1.843000	1.010000	1.845000
ELF1_f1.HOCOMOCO	10.800096	1.200011	9	1.791000	1.868000	0.729000	1.868000
ELF1.HOMER	10.960876	1.217875	9	1.817000	1.904000	0.727000	1.904000
ELF1_disc1.POUR	13.678178	1.519798	9	1.746000	1.847000	0.989000	1.846000
ELF1_disc2.POUR	7.756114	0.861790	9	1.719000	1.596000	0.731000	1.596000
ELF1_disc3.POUR	6.823400	0.568617	12	1.494000	1.320000	0.731000	1.320000
ELF1_DBD.JOLMA	15.854290	1.441299	11	1.765000	1.851000	1.298000	1.855000
ELF1_full.JOLMA	16.097807	1.463437	11	1.761000	1.724000	1.243000	1.727000
h-ELF1.WEIHUMAN	9.947519	1.105280	9	1.790000	1.875000	0.734000	1.876000
h-ELF1.WEIMOUSE	11.110486	1.234498	9	1.776000	1.861000	0.732000	1.862000
ELF1_1.GUERTIN	10.892529	0.990230	11	1.798000	1.879000	0.731000	1.879000
ELF1_2.GUERTIN	12.695897	1.586987	8	1.321000	1.171000	0.731000	1.163000
ELF1_3.GUERTIN	20.797701	1.386513	15	0.991000	1.095000	0.731000	1.102000
ELF1_4.GUERTIN	18.646223	1.331873	14	1.376000	1.152000	1.294000	1.148000
ELF1.1_1.ZLAB	13.159554	1.315955	10	1.823000	1.896000	0.735000	1.896000
ELF1.1_2.ZLAB	10.954258	1.095426	10	1.792000	1.855000	0.821000	1.855000
ELF1.1_3.ZLAB	24.439730	1.221987	20	1.119000	1.174000	0.730000	1.165000
ELF1.1_4.ZLAB	15.714579	1.571458	10	1.261000	1.156000	0.924000	1.147000
ELF1.1_5.ZLAB	12.648338	1.264834	10	1.158000	1.071000	1.308000	1.064000
Elf1.TF2DNA	9.224568	1.317795	7	1.636000	1.666000	1.312000	1.663000
ELF1.SWISSREGULON	10.831459	1.805243	6	1.587000	1.706000	1.337000	1.710000
M2275_1.02.CIS-BP	13.613622	1.134468	12	1.701000	1.843000	1.010000	1.845000
