Motif_name	Motif_IC	Average_IC	Motif_length	energy	gomer	sumlog	sumoc	ama
ETS1_si.HOCOMOCO	9.246927	1.155866	8	1.197000	1.283000	0.808000	1.284000	1.284000
ETS1.HOMER	12.501198	1.389022	9	1.192000	1.336000	1.024000	1.342000	1.342000
Ets1-distal.HOMER	13.528256	1.503140	9	1.044000	1.147000	1.056000	1.151000	1.151000
ETS.HOMER	12.798834	1.422093	9	1.362000	1.449000	0.804000	1.451000	1.451000
ETS_disc1.POUR	20.371086	1.567007	13	1.305000	1.441000	1.003000	1.433000	1.433000
ETS_disc2.POUR	14.613464	1.623718	9	1.361000	1.382000	0.928000	1.382000	1.382000
ETS_disc3.POUR	15.882864	1.764763	9	1.234000	1.176000	1.001000	1.186000	1.186000
ETS_disc4.POUR	10.224806	1.136090	9	1.321000	1.336000	0.799000	1.337000	1.337000
ETS_disc5.POUR	6.384265	0.912038	7	1.126000	1.168000	0.825000	1.169000	1.169000
ETS_disc6.POUR	11.469650	1.274406	9	1.240000	1.212000	1.011000	1.212000	1.212000
ETS_disc7.POUR	7.248802	0.557600	13	1.397000	1.369000	0.807000	1.369000	1.369000
ETS_disc8.POUR	9.925351	1.417907	7	1.299000	1.318000	0.807000	1.319000	1.319000
ETS_disc9.POUR	7.120505	0.647319	11	1.258000	1.158000	0.811000	1.159000	1.159000
ETS1_DBD_1.JOLMA	11.419462	1.268829	9	1.336000	1.417000	0.808000	1.419000	1.419000
ETS1_DBD_2.JOLMA	20.141418	1.184789	17	1.202000	1.142000	0.803000	1.117000	1.117000
ETS1_full_1.JOLMA	10.832752	1.203639	9	1.320000	1.441000	0.808000	1.442000	1.442000
ETS1_full_2.JOLMA	23.893774	1.405516	17	1.235000	1.122000	1.144000	1.080000	1.080000
h-ETS1.WEIHUMAN	9.963108	1.107012	9	1.304000	1.420000	0.808000	1.421000	1.421000
h-ETS1.WEIMOUSE	10.043202	1.115911	9	1.323000	1.431000	0.808000	1.431000	1.431000
m-ETS1.WEIMOUSE	11.725749	1.302861	9	1.331000	1.391000	0.797000	1.392000	1.392000
UP00414.1.ZHAO2011	16.555588	0.871347	19	0.990000	1.035000	1.097000	1.022000	1.022000
ETS-1.3DFOOTPRINT	9.907641	0.707689	14	1.256000	1.214000	0.815000	1.211000	1.211000
ETS1_1.3DFOOTPRINT	3.391691	1.130564	3	1.092000	1.286000	0.799000	1.239000	1.239000
C-ets1_1.3DFOOTPRINT	17.473606	1.344124	13	1.061000	1.046000	0.873000	1.037000	1.037000
C-ets1_2.3DFOOTPRINT	7.336498	1.467300	5	1.102000	1.139000	0.825000	1.125000	1.125000
ETS1_8.3DFOOTPRINT	6.321029	1.580257	4	1.265000	1.136000	0.797000	1.301000	1.301000
ETS1_2.3DFOOTPRINT	11.731748	0.977646	12	0.974000	1.016000	0.870000	1.017000	1.017000
ETS1_3.3DFOOTPRINT	6.381618	1.595405	4	1.050000	1.023000	0.865000	1.012000	1.012000
ETS1_4.3DFOOTPRINT	7.278835	1.455767	5	0.990000	0.934000	0.825000	0.935000	0.935000
ETS1_5.3DFOOTPRINT	6.878133	1.375627	5	0.990000	0.926000	0.827000	0.927000	0.927000
ETS1_6.3DFOOTPRINT	5.202047	1.734016	3	1.013000	1.005000	1.001000	0.938000	0.938000
ETS1_7.3DFOOTPRINT	7.278835	1.455767	5	1.119000	1.120000	0.825000	1.106000	1.106000
ETS1_1.GUERTIN	22.690291	1.194226	19	1.330000	1.654000	0.932000	1.651000	1.651000
ETS1_2.GUERTIN	18.233629	1.402587	13	1.129000	1.197000	1.108000	1.188000	1.188000
ETS1_3.GUERTIN	11.201802	1.400225	8	1.108000	1.137000	1.127000	1.139000	1.139000
ETS1_4.GUERTIN	12.132876	0.638572	19	0.894000	0.847000	1.126000	0.848000	0.848000
ETS1.2_1.ZLAB	9.513985	1.057109	9	0.871000	0.922000	1.062000	0.922000	0.922000
ETS1.2_2.ZLAB	11.560929	1.156093	10	0.991000	0.993000	1.099000	0.997000	0.997000
ETS1.2_3.ZLAB	12.217494	1.745356	7	0.963000	0.938000	0.900000	0.947000	0.947000
ETS1.2_4.ZLAB	15.532202	1.109443	14	1.136000	0.984000	0.841000	0.991000	0.991000
ETS1.2_5.ZLAB	16.177118	0.898729	18	1.093000	0.969000	1.135000	0.974000	0.974000
Ets1.TF2DNA	10.034985	1.254373	8	1.249000	1.297000	1.002000	1.296000	1.296000
ETS1.SWISSREGULON	13.790729	1.060825	13	1.119000	1.260000	1.109000	1.263000	1.263000
M4461_1.02.CIS-BP	23.526799	1.176340	20	1.329000	1.627000	0.796000	1.632000	1.632000
