Motif_name	Motif_IC	Average_IC	Motif_length	energy	gomer	sumlog	sumoc
MA0095.2.JASPAR	13.867010	1.260637	11	0.884000	0.885000	0.342000	0.887000
TYY1_f2.HOCOMOCO	12.865238	1.169567	11	0.891000	0.894000	0.346000	0.894000
YY1.HOMER	18.096587	1.645144	11	0.886000	0.871000	0.637000	0.874000
YY1_disc1.POUR	16.377523	0.744433	22	0.886000	0.565000	0.374000	0.549000
YY1_disc2.POUR	16.100825	1.788981	9	0.840000	0.570000	0.473000	0.568000
YY1_disc3.POUR	7.226163	0.802907	9	0.687000	0.693000	0.667000	0.693000
YY1_disc4.POUR	7.516594	0.536900	14	0.701000	0.669000	0.655000	0.666000
YY1_disc5.POUR	6.932177	0.630198	11	0.651000	0.671000	0.655000	0.671000
YY1_full.JOLMA	9.108403	0.910840	10	0.878000	0.883000	0.348000	0.883000
YY1.3DFOOTPRINT	16.792697	1.526609	11	0.770000	0.533000	0.552000	0.556000
YY1_1.GUERTIN	14.115611	1.283237	11	0.893000	0.897000	0.349000	0.897000
YY1_2.GUERTIN	17.514538	1.167636	15	0.601000	0.551000	0.346000	0.539000
YY1_3.GUERTIN	12.385705	0.651879	19	0.381000	0.480000	0.342000	0.487000
YY1_4.GUERTIN	10.218179	1.277272	8	0.455000	0.448000	0.652000	0.448000
YY1.1_1.ZLAB	15.674001	1.119572	14	0.900000	0.897000	0.651000	0.895000
YY1.1_2.ZLAB	15.630720	0.868373	18	0.861000	0.726000	0.374000	0.697000
YY1.1_3.ZLAB	11.240627	1.605804	7	0.606000	0.594000	0.640000	0.590000
YY1.1_4.ZLAB	14.607807	1.623090	9	0.562000	0.527000	0.642000	0.521000
YY1.1_5.ZLAB	21.580679	1.079034	20	0.476000	0.511000	0.408000	0.511000
Yy1.TF2DNA	8.842774	1.105347	8	0.553000	0.498000	0.356000	0.500000
YY1.SWISSREGULON	8.657292	1.731458	5	0.711000	0.716000	0.551000	0.712000
M1919_1.02.CIS-BP	13.867010	1.260637	11	0.884000	0.885000	0.342000	0.887000
