Motif_name	Motif_IC	Average_IC	Motif_length	energy	gomer	sumlog	sumoc
MA0139.1.JASPAR	16.851398	0.936189	18	0.968000	0.927000	0.493000	0.901000
CTCF.CHEN2008	17.525596	0.973644	18	0.967000	0.916000	0.506000	0.900000
CTCF_f2.HOCOMOCO	15.386000	0.854778	18	0.967000	0.934000	0.508000	0.915000
CTCF.HOMER	18.850878	0.992151	19	0.965000	0.844000	0.509000	0.812000
CTCF-SatelliteElement.HOMER	17.422267	0.916961	19	0.663000	0.541000	0.492000	0.537000
CTCF_disc1.POUR	17.151684	0.816747	21	0.960000	0.604000	0.491000	0.572000
CTCF_disc2.POUR	17.504210	1.750421	10	0.729000	0.607000	0.496000	0.613000
CTCF_disc3.POUR	13.247292	1.655911	8	0.626000	0.536000	0.497000	0.536000
CTCF_disc4.POUR	12.921314	0.993947	13	0.680000	0.634000	0.494000	0.633000
CTCF_disc5.POUR	9.497248	0.730558	13	0.823000	0.764000	0.505000	0.764000
CTCF_disc6.POUR	11.614121	1.659160	7	0.603000	0.549000	0.502000	0.550000
CTCF_disc7.POUR	7.100380	0.788931	9	0.627000	0.642000	0.503000	0.643000
CTCF_disc8.POUR	8.378724	0.644517	13	0.713000	0.718000	0.505000	0.718000
CTCF_disc9.POUR	9.981621	0.665441	15	0.760000	0.695000	0.506000	0.695000
CTCF_disc10.POUR	13.203164	1.650396	8	0.596000	0.578000	0.503000	0.578000
CTCF_full.JOLMA	20.145263	1.259079	16	0.941000	0.858000	0.495000	0.847000
CTCF_1.GUERTIN	13.712743	0.914183	15	0.953000	0.952000	0.502000	0.951000
CTCF_2.GUERTIN	12.415838	1.128713	11	0.553000	0.573000	0.503000	0.567000
CTCF_3.GUERTIN	26.430396	1.762026	15	0.545000	0.512000	0.494000	0.513000
CTCF_4.GUERTIN	15.042013	0.791685	19	0.552000	0.503000	0.491000	0.503000
CTCF.1_1.ZLAB	15.071188	1.076513	14	0.944000	0.952000	0.506000	0.951000
CTCF.1_2.ZLAB	12.919524	1.291952	10	0.596000	0.593000	0.497000	0.594000
CTCF.1_3.ZLAB	8.909995	1.272856	7	0.506000	0.506000	0.506000	0.506000
CTCF.1_4.ZLAB	39.920800	1.535415	26	0.511000	0.500000	0.487000	0.500000
CTCF.1_5.ZLAB	26.288489	1.314424	20	0.828000	0.517000	0.508000	0.516000
CTCF-ext.2_1.ZLAB	13.653036	1.137753	12	0.919000	0.932000	0.498000	0.932000
CTCF-ext.2_2.ZLAB	11.925914	0.851851	14	0.620000	0.618000	0.507000	0.620000
CTCF-ext.2_3.ZLAB	29.625929	1.058069	28	0.541000	0.500000	0.517000	0.500000
CTCF-ext.2_4.ZLAB	14.743963	1.053140	14	0.903000	0.851000	0.510000	0.852000
CTCF-ext.2_5.ZLAB	13.490179	0.963584	14	0.549000	0.546000	0.503000	0.537000
Ctcf.TF2DNA	9.353593	1.169199	8	0.433000	0.452000	0.501000	0.454000
CTCF.SWISSREGULON	20.143813	1.060201	19	0.961000	0.814000	0.493000	0.793000
M4427_1.02.CIS-BP	16.988525	0.849426	20	0.968000	0.808000	0.495000	0.762000
