Motif_name	Motif_IC	Average_IC	Motif_length	energy	gomer	sumlog	sumoc
E2A_1.HOMER	11.385580	1.265064	9	0.875000	1.132000	0.702000	1.376000
E2A_2.HOMER	11.919741	1.324416	9	1.251000	1.300000	0.702000	1.376000
E-box.HOMER	14.636387	1.330581	11	1.261000	0.772000	0.713000	0.813000
TCF3_DBD.JOLMA	11.388434	1.265382	9	1.196000	1.132000	0.694000	1.462000
UP00058_1.UNIPROBE	11.971684	0.748230	16	2.000000	1.867000	2.000000	1.952000
UP00046_1.UNIPROBE	11.912928	0.744558	16	1.136000	1.251000	0.694000	1.671000
UP00058_2.UNIPROBE	2.646869	0.189062	14	1.917000	2.000000	1.952000	2.000000
UP00046_2.UNIPROBE	11.613522	0.725845	16	1.123000	1.300000	0.694000	1.556000
UP00058.1.ZHAO2011	1.778534	0.197615	9	2.000000	2.000000	2.000000	2.000000
UP00058.2.ZHAO2011	1.493659	0.165962	9	2.000000	2.000000	1.952000	2.000000
UP00046.1.ZHAO2011	10.131050	1.125672	9	1.089000	1.180000	0.713000	1.573000
UP00046.2.ZHAO2011	10.084773	1.120530	9	1.123000	1.165000	0.702000	1.439000
TCF3_1.GUERTIN	17.605268	0.926593	19	1.104000	1.597000	0.702000	1.599000
TCF3_2.GUERTIN	11.397238	1.424655	8	0.912000	0.983000	0.826000	1.418000
TCF3_3.GUERTIN	30.626174	1.611904	19	1.552000	2.000000	0.694000	1.217000
TCF3_4.GUERTIN	15.494646	0.815508	19	1.811000	2.000000	2.000000	1.952000
Tcf3.TF2DNA	9.158512	1.308359	7	1.500000	1.032000	1.128000	1.098000
TCF3.SWISSREGULON	12.832396	0.987107	13	1.167000	1.644000	2.000000	2.000000
M6516_1.02.CIS-BP	10.944965	1.094496	10	1.148000	1.264000	0.702000	1.573000
