Motif_name	Motif_IC	Average_IC	Motif_length	energy	gomer	sumlog	sumoc
MA0095.2.JASPAR	13.867010	1.260637	11	1.710000	1.853000	1.005000	1.854000
TYY1_f2.HOCOMOCO	12.865238	1.169567	11	1.709000	1.867000	1.004000	1.868000
YY1.HOMER	18.096587	1.645144	11	1.681000	1.820000	1.012000	1.825000
YY1_disc1.POUR	16.377523	0.744433	22	1.658000	1.838000	1.040000	1.840000
YY1_disc2.POUR	16.100825	1.788981	9	1.575000	1.228000	1.012000	1.223000
YY1_disc3.POUR	7.226163	0.802907	9	1.132000	1.184000	1.005000	1.184000
YY1_disc4.POUR	7.516594	0.536900	14	1.136000	1.087000	1.004000	1.087000
YY1_disc5.POUR	6.932177	0.630198	11	1.108000	1.093000	1.004000	1.093000
YY1_full.JOLMA	9.108403	0.910840	10	1.640000	1.758000	1.004000	1.758000
YY1.3DFOOTPRINT	16.792697	1.526609	11	1.576000	1.176000	1.056000	1.185000
YY1_1.GUERTIN	14.115611	1.283237	11	1.707000	1.867000	1.002000	1.868000
YY1_2.GUERTIN	17.514538	1.167636	15	1.034000	1.166000	1.005000	1.160000
YY1_3.GUERTIN	12.385705	0.651879	19	1.057000	1.042000	1.003000	1.035000
YY1_4.GUERTIN	10.218179	1.277272	8	1.109000	1.106000	0.996000	1.106000
YY1.1_1.ZLAB	15.674001	1.119572	14	1.691000	1.870000	1.003000	1.870000
YY1.1_2.ZLAB	15.630720	0.868373	18	1.608000	1.753000	1.042000	1.754000
YY1.1_3.ZLAB	11.240627	1.605804	7	1.134000	1.249000	1.003000	1.247000
YY1.1_4.ZLAB	14.607807	1.623090	9	1.030000	1.125000	1.014000	1.127000
YY1.1_5.ZLAB	21.580679	1.079034	20	1.052000	1.098000	1.084000	1.086000
Yy1.TF2DNA	8.842774	1.105347	8	1.233000	1.206000	1.002000	1.206000
YY1.SWISSREGULON	8.657292	1.731458	5	1.378000	1.339000	1.004000	1.344000
M1919_1.02.CIS-BP	13.867010	1.260637	11	1.710000	1.853000	1.005000	1.854000
