Motif_name	Motif_IC	Average_IC	Motif_length	energy	gomer	sumlog	sumoc
MA0037.2.JASPAR	11.796234	1.685176	7	0.631000	0.593000	0.425000	0.596000
GATA3_si.HOCOMOCO	8.769070	1.252724	7	0.740000	0.759000	0.463000	0.758000
GATA3_1.HOMER	16.031944	1.145139	14	0.614000	0.589000	0.408000	0.579000
GATA3_2.HOMER	15.724328	0.827596	19	0.657000	0.532000	0.408000	0.527000
GATA3_3.HOMER	14.720967	0.774788	19	0.649000	0.560000	0.408000	0.559000
GATA3_4.HOMER	14.018997	1.001357	14	0.643000	0.627000	0.408000	0.597000
GATA3_5.HOMER	8.223262	1.174752	7	0.680000	0.683000	0.410000	0.683000
GATA_disc4.POUR	11.632009	1.661716	7	0.670000	0.610000	0.426000	0.612000
GATA_disc5.POUR	13.701205	1.712651	8	0.572000	0.543000	0.589000	0.535000
GATA3_DBD.JOLMA	7.714744	1.102106	7	0.682000	0.682000	0.410000	0.682000
GATA3_full.JOLMA	6.920683	0.988669	7	0.677000	0.656000	0.409000	0.655000
UP00032_1.UNIPROBE	14.254147	0.678769	21	0.614000	0.504000	0.408000	0.504000
UP00032_2.UNIPROBE	9.586398	0.456495	21	0.625000	0.502000	0.408000	0.500000
UP00032.1.ZHAO2011	17.892109	0.777918	23	0.555000	0.500000	0.417000	0.500000
UP00032.2.ZHAO2011	14.623167	0.860186	17	0.498000	0.486000	0.410000	0.490000
UP00032.3.ZHAO2011	15.403291	0.906076	17	0.498000	0.488000	0.410000	0.494000
UP00032.4.ZHAO2011	19.107891	0.489946	39	0.474000	0.500000	0.408000	0.500000
GATA3_1.3DFOOTPRINT	11.356255	1.261806	9	0.631000	0.651000	0.409000	0.652000
GATA3_2.3DFOOTPRINT	12.899476	1.289948	10	0.549000	0.572000	0.572000	0.570000
GATA3_3.3DFOOTPRINT	2.702648	0.900883	3	0.501000	0.527000	0.488000	0.481000
GATA3_1.GUERTIN	12.991875	1.181080	11	0.595000	0.602000	0.426000	0.596000
GATA3_2.GUERTIN	13.625243	1.238658	11	0.674000	0.661000	0.409000	0.656000
GATA3_3.GUERTIN	10.052209	1.675368	6	0.582000	0.594000	0.500000	0.591000
GATA3_4.GUERTIN	9.033954	1.505659	6	0.580000	0.569000	0.591000	0.568000
GATA3.2_1.ZLAB	14.841083	1.060077	14	0.648000	0.634000	0.408000	0.614000
GATA3.2_2.ZLAB	12.608394	0.900600	14	0.657000	0.645000	0.433000	0.639000
GATA3.2_3.ZLAB	10.878944	1.087894	10	0.584000	0.571000	0.409000	0.571000
GATA3.2_4.ZLAB	10.878159	1.087816	10	0.589000	0.583000	0.508000	0.582000
GATA3.2_5.ZLAB	37.197513	1.430674	26	0.514000	0.501000	0.411000	0.501000
Gata3.TF2DNA	8.694524	1.242075	7	0.473000	0.452000	0.425000	0.451000
GATA3.SWISSREGULON	8.028356	1.605671	5	0.602000	0.615000	0.421000	0.616000
M4665_1.02.CIS-BP	15.006038	1.071860	14	0.642000	0.622000	0.412000	0.604000
