Motif_name	Motif_IC	Average_IC	Motif_length	energy	gomer	sumlog	sumoc
MA0507.1.JASPAR	15.046107	1.253842	12	1.716000	1.566000	1.906000	1.421000
PO2F2_si.HOCOMOCO	13.968438	1.746055	8	1.556000	1.573000	1.913000	1.386000
Oct4_1.HOMER	14.640873	1.626764	9	1.593000	1.608000	1.926000	1.525000
POU2F2_disc1.POUR	8.239147	1.177021	7	1.388000	1.478000	1.927000	1.457000
POU2F2_disc2.POUR	7.485009	0.623751	12	0.699000	0.696000	0.621000	0.713000
POU2F2_DBD_1.JOLMA	10.440903	1.044090	10	1.782000	1.831000	1.923000	1.798000
POU2F2_DBD_2.JOLMA	8.806740	0.677442	13	1.850000	1.900000	1.914000	1.881000
Pou2f2_DBD_1.JOLMA	15.903738	1.223364	13	1.749000	1.547000	1.911000	1.419000
Pou2f2_DBD_2.JOLMA	12.789546	1.598693	8	1.598000	1.654000	1.912000	1.615000
UP00191_1.UNIPROBE	14.252469	0.950165	15	1.820000	1.719000	1.906000	1.644000
UP00191.1.ZHAO2011	16.116708	1.074447	15	1.453000	1.446000	0.952000	1.280000
OCT2_1.GUERTIN	23.416594	1.232452	19	1.320000	0.988000	0.680000	0.958000
OCT2_2.GUERTIN	30.588115	1.609901	19	1.299000	1.096000	1.876000	1.079000
OCT2_3.GUERTIN	19.686930	1.312462	15	1.400000	1.169000	1.854000	1.162000
OCT2_4.GUERTIN	29.197792	1.536726	19	1.279000	1.009000	1.877000	0.984000
POU2F2.1_1.ZLAB	13.618449	1.134871	12	1.686000	1.664000	1.916000	1.574000
POU2F2.1_2.ZLAB	12.468210	1.246821	10	0.740000	0.841000	1.921000	0.906000
POU2F2.1_3.ZLAB	49.135607	1.694331	29	1.234000	1.045000	1.856000	1.041000
POU2F2.1_4.ZLAB	15.907746	1.223673	13	0.956000	0.870000	1.030000	0.923000
POU2F2.1_5.ZLAB	26.593414	1.329671	20	0.677000	0.911000	0.629000	0.907000
Pou2f2.TF2DNA	9.817302	1.227163	8	1.904000	1.813000	1.873000	1.809000
POU2F2.SWISSREGULON	17.521546	1.460129	12	1.730000	1.456000	1.921000	1.336000
M2306_1.02.CIS-BP	15.046107	1.253842	12	1.716000	1.566000	1.906000	1.421000
