Motif_name	Motif_IC	Average_IC	Motif_length	energy	gomer	sumlog	sumoc
ETS1_si.HOCOMOCO	9.246927	1.155866	8	0.672000	0.672000	0.499000	0.672000
ETS1.HOMER	12.501198	1.389022	9	0.678000	0.678000	0.497000	0.682000
Ets1-distal.HOMER	13.528256	1.503140	9	0.617000	0.636000	0.502000	0.632000
ETS.HOMER	12.798834	1.422093	9	0.663000	0.672000	0.501000	0.674000
ETS_disc1.POUR	20.371086	1.567007	13	0.764000	0.657000	0.516000	0.649000
ETS_disc2.POUR	14.613464	1.623718	9	0.664000	0.634000	0.505000	0.641000
ETS_disc3.POUR	15.882864	1.764763	9	0.548000	0.552000	0.500000	0.553000
ETS_disc4.POUR	10.224806	1.136090	9	0.597000	0.565000	0.502000	0.565000
ETS_disc5.POUR	6.384265	0.912038	7	0.593000	0.597000	0.502000	0.597000
ETS_disc6.POUR	11.469650	1.274406	9	0.534000	0.511000	0.499000	0.512000
ETS_disc7.POUR	7.248802	0.557600	13	0.708000	0.682000	0.501000	0.682000
ETS_disc8.POUR	9.925351	1.417907	7	0.547000	0.552000	0.499000	0.551000
ETS_disc9.POUR	7.120505	0.647319	11	0.523000	0.539000	0.501000	0.539000
ETS1_DBD_1.JOLMA	11.419462	1.268829	9	0.676000	0.667000	0.500000	0.671000
ETS1_DBD_2.JOLMA	20.141418	1.184789	17	0.540000	0.516000	0.504000	0.509000
ETS1_full_1.JOLMA	10.832752	1.203639	9	0.662000	0.679000	0.500000	0.682000
ETS1_full_2.JOLMA	23.893774	1.405516	17	0.558000	0.509000	0.476000	0.507000
h-ETS1.WEIHUMAN	9.963108	1.107012	9	0.672000	0.680000	0.500000	0.681000
h-ETS1.WEIMOUSE	10.043202	1.115911	9	0.655000	0.678000	0.500000	0.679000
m-ETS1.WEIMOUSE	11.725749	1.302861	9	0.674000	0.659000	0.501000	0.660000
UP00414.1.ZHAO2011	16.555588	0.871347	19	0.497000	0.499000	0.506000	0.500000
ETS-1.3DFOOTPRINT	9.907641	0.707689	14	0.537000	0.546000	0.491000	0.544000
ETS1_1.3DFOOTPRINT	3.391691	1.130564	3	0.500000	0.500000	0.500000	0.500000
C-ets1_1.3DFOOTPRINT	17.473606	1.344124	13	0.507000	0.527000	0.495000	0.503000
C-ets1_2.3DFOOTPRINT	7.336498	1.467300	5	0.607000	0.637000	0.500000	0.634000
ETS1_8.3DFOOTPRINT	6.321029	1.580257	4	0.504000	0.504000	0.500000	0.520000
ETS1_2.3DFOOTPRINT	11.731748	0.977646	12	0.512000	0.500000	0.498000	0.499000
ETS1_3.3DFOOTPRINT	6.381618	1.595405	4	0.537000	0.538000	0.500000	0.612000
ETS1_4.3DFOOTPRINT	7.278835	1.455767	5	0.511000	0.529000	0.500000	0.533000
ETS1_5.3DFOOTPRINT	6.878133	1.375627	5	0.511000	0.526000	0.500000	0.531000
ETS1_6.3DFOOTPRINT	5.202047	1.734016	3	0.500000	0.500000	0.500000	0.500000
ETS1_7.3DFOOTPRINT	7.278835	1.455767	5	0.618000	0.651000	0.500000	0.651000
ETS1_1.GUERTIN	22.690291	1.194226	19	0.768000	0.747000	0.542000	0.740000
ETS1_2.GUERTIN	18.233629	1.402587	13	0.526000	0.530000	0.499000	0.536000
ETS1_3.GUERTIN	11.201802	1.400225	8	0.642000	0.584000	0.501000	0.581000
ETS1_4.GUERTIN	12.132876	0.638572	19	0.515000	0.502000	0.499000	0.500000
ETS1.2_1.ZLAB	9.513985	1.057109	9	0.457000	0.478000	0.525000	0.478000
ETS1.2_2.ZLAB	11.560929	1.156093	10	0.607000	0.556000	0.504000	0.551000
ETS1.2_3.ZLAB	12.217494	1.745356	7	0.484000	0.491000	0.499000	0.488000
ETS1.2_4.ZLAB	15.532202	1.109443	14	0.508000	0.506000	0.491000	0.504000
ETS1.2_5.ZLAB	16.177118	0.898729	18	0.516000	0.509000	0.493000	0.508000
Ets1.TF2DNA	10.034985	1.254373	8	0.690000	0.694000	0.490000	0.692000
ETS1.SWISSREGULON	13.790729	1.060825	13	0.644000	0.639000	0.499000	0.640000
M4461_1.02.CIS-BP	23.526799	1.176340	20	0.775000	0.737000	0.512000	0.733000
