Motif_name	Motif_IC	Average_IC	Motif_length	energy	gomer	sumlog	sumoc
ETS1_si.HOCOMOCO	9.246927	1.155866	8	0.624000	0.621000	0.620000	0.621000
ETS1.HOMER	12.501198	1.389022	9	0.622000	0.648000	0.446000	0.653000
Ets1-distal.HOMER	13.528256	1.503140	9	0.531000	0.566000	0.422000	0.570000
ETS.HOMER	12.798834	1.422093	9	0.707000	0.699000	0.625000	0.702000
ETS_disc1.POUR	20.371086	1.567007	13	0.733000	0.650000	0.462000	0.645000
ETS_disc2.POUR	14.613464	1.623718	9	0.707000	0.644000	0.517000	0.647000
ETS_disc3.POUR	15.882864	1.764763	9	0.642000	0.552000	0.500000	0.562000
ETS_disc4.POUR	10.224806	1.136090	9	0.666000	0.645000	0.632000	0.646000
ETS_disc5.POUR	6.384265	0.912038	7	0.571000	0.570000	0.600000	0.570000
ETS_disc6.POUR	11.469650	1.274406	9	0.629000	0.602000	0.462000	0.603000
ETS_disc7.POUR	7.248802	0.557600	13	0.706000	0.711000	0.622000	0.711000
ETS_disc8.POUR	9.925351	1.417907	7	0.648000	0.657000	0.626000	0.656000
ETS_disc9.POUR	7.120505	0.647319	11	0.584000	0.628000	0.617000	0.629000
ETS1_DBD_1.JOLMA	11.419462	1.268829	9	0.708000	0.668000	0.621000	0.671000
ETS1_DBD_2.JOLMA	20.141418	1.184789	17	0.605000	0.514000	0.626000	0.507000
ETS1_full_1.JOLMA	10.832752	1.203639	9	0.701000	0.688000	0.621000	0.690000
ETS1_full_2.JOLMA	23.893774	1.405516	17	0.619000	0.511000	0.380000	0.506000
h-ETS1.WEIHUMAN	9.963108	1.107012	9	0.692000	0.671000	0.620000	0.672000
h-ETS1.WEIMOUSE	10.043202	1.115911	9	0.698000	0.681000	0.620000	0.682000
m-ETS1.WEIMOUSE	11.725749	1.302861	9	0.704000	0.651000	0.633000	0.653000
UP00414.1.ZHAO2011	16.555588	0.871347	19	0.485000	0.499000	0.385000	0.500000
ETS-1.3DFOOTPRINT	9.907641	0.707689	14	0.617000	0.628000	0.611000	0.625000
ETS1_1.3DFOOTPRINT	3.391691	1.130564	3	0.534000	0.657000	0.631000	0.681000
C-ets1_1.3DFOOTPRINT	17.473606	1.344124	13	0.530000	0.519000	0.553000	0.509000
C-ets1_2.3DFOOTPRINT	7.336498	1.467300	5	0.561000	0.567000	0.600000	0.561000
ETS1_8.3DFOOTPRINT	6.321029	1.580257	4	0.612000	0.615000	0.634000	0.701000
ETS1_2.3DFOOTPRINT	11.731748	0.977646	12	0.487000	0.496000	0.556000	0.496000
ETS1_3.3DFOOTPRINT	6.381618	1.595405	4	0.521000	0.521000	0.559000	0.512000
ETS1_4.3DFOOTPRINT	7.278835	1.455767	5	0.465000	0.465000	0.600000	0.467000
ETS1_5.3DFOOTPRINT	6.878133	1.375627	5	0.465000	0.459000	0.599000	0.462000
ETS1_6.3DFOOTPRINT	5.202047	1.734016	3	0.504000	0.503000	0.500000	0.497000
ETS1_7.3DFOOTPRINT	7.278835	1.455767	5	0.567000	0.561000	0.600000	0.556000
ETS1_1.GUERTIN	22.690291	1.194226	19	0.744000	0.739000	0.519000	0.737000
ETS1_2.GUERTIN	18.233629	1.402587	13	0.574000	0.568000	0.383000	0.566000
ETS1_3.GUERTIN	11.201802	1.400225	8	0.585000	0.513000	0.372000	0.515000
ETS1_4.GUERTIN	12.132876	0.638572	19	0.404000	0.498000	0.369000	0.500000
ETS1.2_1.ZLAB	9.513985	1.057109	9	0.410000	0.419000	0.433000	0.419000
ETS1.2_2.ZLAB	11.560929	1.156093	10	0.494000	0.474000	0.385000	0.478000
ETS1.2_3.ZLAB	12.217494	1.745356	7	0.468000	0.457000	0.539000	0.460000
ETS1.2_4.ZLAB	15.532202	1.109443	14	0.544000	0.494000	0.586000	0.491000
ETS1.2_5.ZLAB	16.177118	0.898729	18	0.485000	0.492000	0.375000	0.492000
Ets1.TF2DNA	10.034985	1.254373	8	0.642000	0.634000	0.492000	0.632000
ETS1.SWISSREGULON	13.790729	1.060825	13	0.587000	0.611000	0.381000	0.611000
M4461_1.02.CIS-BP	23.526799	1.176340	20	0.745000	0.735000	0.635000	0.731000
